                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
  704:   48:-       |  48:-       |  48:-       |  48:-       |  44:mulhu   r11=0  BUS_LOAD  MEM[40] accepted 1
  705:   48:sw      |  48:-       |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[40] accepted 1
  706:   52:-       |  48:sw      |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
  707:   52:-       |  52:-       |  48:sw      |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
  708:   52:-       |  52:-       |  52:-       |  48:sw      |  48:-       BUS_STORE MEM[4176] = 0 accepted 1
  709:   52:-       |  52:-       |  52:-       |  52:-       |  48:sw      BUS_LOAD  MEM[48] accepted 1
  710:   52:addi    |  52:-       |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
  711:   56:-       |  52:addi    |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
  712:   56:-       |  56:-       |  52:addi    |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
  713:   56:-       |  56:-       |  56:-       |  52:addi    |  52:-       BUS_LOAD  MEM[48] accepted 1
  714:   56:-       |  56:-       |  56:-       |  56:-       |  52:addi    r4=4184  BUS_LOAD  MEM[48] accepted 1
  715:   56:addi    |  56:-       |  56:-       |  56:-       |  56:-       BUS_LOAD  MEM[48] accepted 1
  716:   60:-       |  56:addi    |  56:-       |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
  717:   60:-       |  60:-       |  56:addi    |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
  718:   60:-       |  60:-       |  60:-       |  56:addi    |  56:-       BUS_LOAD  MEM[56] accepted 1
  719:   60:-       |  60:-       |  60:-       |  60:-       |  56:addi    r17=11  BUS_LOAD  MEM[56] accepted 1
  720:   60:addi    |  60:-       |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
  721:   64:-       |  60:addi    |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
  722:   64:-       |  64:-       |  60:addi    |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
  723:   64:-       |  64:-       |  64:-       |  60:addi    |  60:-       BUS_LOAD  MEM[56] accepted 1
  724:   64:-       |  64:-       |  64:-       |  64:-       |  60:addi    r3=111000  BUS_LOAD  MEM[56] accepted 1
  725:   64:slti    |  64:-       |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[56] accepted 1
  726:   68:-       |  64:slti    |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
  727:   68:-       |  68:-       |  64:slti    |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
  728:   68:-       |  68:-       |  68:-       |  64:slti    |  64:-       BUS_LOAD  MEM[64] accepted 1
  729:   68:-       |  68:-       |  68:-       |  68:-       |  64:slti    r2=1  BUS_LOAD  MEM[64] accepted 1
  730:   68:bne     |  68:-       |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
  731:   72:-       |  68:bne     |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
  732:   72:-       |  72:-       |  68:bne     |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
  733:   72:-       |  72:-       |  72:-       |  68:bne     |  68:-       BUS_LOAD  MEM[64] accepted 1
  734:   20:-       |  72:-       |  72:-       |  72:-       |  68:bne     BUS_LOAD  MEM[16] accepted 1
  735:   20:add     |  20:-       |  72:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
  736:   24:-       |  20:add     |  20:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
  737:   24:-       |  24:-       |  20:add     |  20:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
  738:   24:-       |  24:-       |  24:-       |  20:add     |  20:-       BUS_LOAD  MEM[16] accepted 1
  739:   24:-       |  24:-       |  24:-       |  24:-       |  20:add     r6=222000  BUS_LOAD  MEM[16] accepted 1
  740:   24:add     |  24:-       |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[16] accepted 1
  741:   28:-       |  24:add     |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
  742:   28:-       |  28:-       |  24:add     |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
  743:   28:-       |  28:-       |  28:-       |  24:add     |  24:-       BUS_LOAD  MEM[24] accepted 1
  744:   28:-       |  28:-       |  28:-       |  28:-       |  24:add     r9=222000  BUS_LOAD  MEM[24] accepted 1
  745:   28:add     |  28:-       |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
  746:   32:-       |  28:add     |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
  747:   32:-       |  32:-       |  28:add     |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
  748:   32:-       |  32:-       |  32:-       |  28:add     |  28:-       BUS_LOAD  MEM[24] accepted 1
  749:   32:-       |  32:-       |  32:-       |  32:-       |  28:add     r8=222000  BUS_LOAD  MEM[24] accepted 1
  750:   32:mulhsu  |  32:-       |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[24] accepted 1
  751:   36:-       |  32:mulhsu  |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
  752:   36:-       |  36:-       |  32:mulhsu  |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
  753:   36:-       |  36:-       |  36:-       |  32:mulhsu  |  32:-       BUS_LOAD  MEM[32] accepted 1
  754:   36:-       |  36:-       |  36:-       |  36:-       |  32:mulhsu  r5=2  BUS_LOAD  MEM[32] accepted 1
  755:   36:mul     |  36:-       |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
  756:   40:-       |  36:mul     |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
  757:   40:-       |  40:-       |  36:mul     |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
  758:   40:-       |  40:-       |  40:-       |  36:mul     |  36:-       BUS_LOAD  MEM[32] accepted 1
  759:   40:-       |  40:-       |  40:-       |  40:-       |  36:mul     r7=444000  BUS_LOAD  MEM[32] accepted 1
  760:   40:mulh    |  40:-       |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[32] accepted 1
  761:   44:-       |  40:mulh    |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
  762:   44:-       |  44:-       |  40:mulh    |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
  763:   44:-       |  44:-       |  44:-       |  40:mulh    |  40:-       BUS_LOAD  MEM[40] accepted 1
  764:   44:-       |  44:-       |  44:-       |  44:-       |  40:mulh    r10=11  BUS_LOAD  MEM[40] accepted 1
  765:   44:mulhu   |  44:-       |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
  766:   48:-       |  44:mulhu   |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
  767:   48:-       |  48:-       |  44:mulhu   |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
  768:   48:-       |  48:-       |  48:-       |  44:mulhu   |  44:-       BUS_LOAD  MEM[40] accepted 1
  769:   48:-       |  48:-       |  48:-       |  48:-       |  44:mulhu   r11=0  BUS_LOAD  MEM[40] accepted 1
  770:   48:sw      |  48:-       |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[40] accepted 1
  771:   52:-       |  48:sw      |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
  772:   52:-       |  52:-       |  48:sw      |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
  773:   52:-       |  52:-       |  52:-       |  48:sw      |  48:-       BUS_STORE MEM[4184] = 0 accepted 1
  774:   52:-       |  52:-       |  52:-       |  52:-       |  48:sw      BUS_LOAD  MEM[48] accepted 1
  775:   52:addi    |  52:-       |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
  776:   56:-       |  52:addi    |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
  777:   56:-       |  56:-       |  52:addi    |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
  778:   56:-       |  56:-       |  56:-       |  52:addi    |  52:-       BUS_LOAD  MEM[48] accepted 1
  779:   56:-       |  56:-       |  56:-       |  56:-       |  52:addi    r4=4192  BUS_LOAD  MEM[48] accepted 1
  780:   56:addi    |  56:-       |  56:-       |  56:-       |  56:-       BUS_LOAD  MEM[48] accepted 1
  781:   60:-       |  56:addi    |  56:-       |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
  782:   60:-       |  60:-       |  56:addi    |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
  783:   60:-       |  60:-       |  60:-       |  56:addi    |  56:-       BUS_LOAD  MEM[56] accepted 1
  784:   60:-       |  60:-       |  60:-       |  60:-       |  56:addi    r17=12  BUS_LOAD  MEM[56] accepted 1
  785:   60:addi    |  60:-       |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
  786:   64:-       |  60:addi    |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
  787:   64:-       |  64:-       |  60:addi    |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
  788:   64:-       |  64:-       |  64:-       |  60:addi    |  60:-       BUS_LOAD  MEM[56] accepted 1
  789:   64:-       |  64:-       |  64:-       |  64:-       |  60:addi    r3=112000  BUS_LOAD  MEM[56] accepted 1
  790:   64:slti    |  64:-       |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[56] accepted 1
  791:   68:-       |  64:slti    |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
  792:   68:-       |  68:-       |  64:slti    |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
  793:   68:-       |  68:-       |  68:-       |  64:slti    |  64:-       BUS_LOAD  MEM[64] accepted 1
  794:   68:-       |  68:-       |  68:-       |  68:-       |  64:slti    r2=1  BUS_LOAD  MEM[64] accepted 1
  795:   68:bne     |  68:-       |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
  796:   72:-       |  68:bne     |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
  797:   72:-       |  72:-       |  68:bne     |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
  798:   72:-       |  72:-       |  72:-       |  68:bne     |  68:-       BUS_LOAD  MEM[64] accepted 1
  799:   20:-       |  72:-       |  72:-       |  72:-       |  68:bne     BUS_LOAD  MEM[16] accepted 1
  800:   20:add     |  20:-       |  72:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
  801:   24:-       |  20:add     |  20:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
  802:   24:-       |  24:-       |  20:add     |  20:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
  803:   24:-       |  24:-       |  24:-       |  20:add     |  20:-       BUS_LOAD  MEM[16] accepted 1
  804:   24:-       |  24:-       |  24:-       |  24:-       |  20:add     r6=224000  BUS_LOAD  MEM[16] accepted 1
  805:   24:add     |  24:-       |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[16] accepted 1
  806:   28:-       |  24:add     |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
  807:   28:-       |  28:-       |  24:add     |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
  808:   28:-       |  28:-       |  28:-       |  24:add     |  24:-       BUS_LOAD  MEM[24] accepted 1
  809:   28:-       |  28:-       |  28:-       |  28:-       |  24:add     r9=224000  BUS_LOAD  MEM[24] accepted 1
  810:   28:add     |  28:-       |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
  811:   32:-       |  28:add     |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
  812:   32:-       |  32:-       |  28:add     |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
  813:   32:-       |  32:-       |  32:-       |  28:add     |  28:-       BUS_LOAD  MEM[24] accepted 1
  814:   32:-       |  32:-       |  32:-       |  32:-       |  28:add     r8=224000  BUS_LOAD  MEM[24] accepted 1
  815:   32:mulhsu  |  32:-       |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[24] accepted 1
  816:   36:-       |  32:mulhsu  |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
  817:   36:-       |  36:-       |  32:mulhsu  |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
  818:   36:-       |  36:-       |  36:-       |  32:mulhsu  |  32:-       BUS_LOAD  MEM[32] accepted 1
  819:   36:-       |  36:-       |  36:-       |  36:-       |  32:mulhsu  r5=2  BUS_LOAD  MEM[32] accepted 1
  820:   36:mul     |  36:-       |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
  821:   40:-       |  36:mul     |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
  822:   40:-       |  40:-       |  36:mul     |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
  823:   40:-       |  40:-       |  40:-       |  36:mul     |  36:-       BUS_LOAD  MEM[32] accepted 1
  824:   40:-       |  40:-       |  40:-       |  40:-       |  36:mul     r7=448000  BUS_LOAD  MEM[32] accepted 1
  825:   40:mulh    |  40:-       |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[32] accepted 1
  826:   44:-       |  40:mulh    |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
  827:   44:-       |  44:-       |  40:mulh    |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
  828:   44:-       |  44:-       |  44:-       |  40:mulh    |  40:-       BUS_LOAD  MEM[40] accepted 1
  829:   44:-       |  44:-       |  44:-       |  44:-       |  40:mulh    r10=11  BUS_LOAD  MEM[40] accepted 1
  830:   44:mulhu   |  44:-       |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
  831:   48:-       |  44:mulhu   |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
  832:   48:-       |  48:-       |  44:mulhu   |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
  833:   48:-       |  48:-       |  48:-       |  44:mulhu   |  44:-       BUS_LOAD  MEM[40] accepted 1
  834:   48:-       |  48:-       |  48:-       |  48:-       |  44:mulhu   r11=0  BUS_LOAD  MEM[40] accepted 1
  835:   48:sw      |  48:-       |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[40] accepted 1
  836:   52:-       |  48:sw      |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
  837:   52:-       |  52:-       |  48:sw      |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
  838:   52:-       |  52:-       |  52:-       |  48:sw      |  48:-       BUS_STORE MEM[4192] = 0 accepted 1
  839:   52:-       |  52:-       |  52:-       |  52:-       |  48:sw      BUS_LOAD  MEM[48] accepted 1
  840:   52:addi    |  52:-       |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
  841:   56:-       |  52:addi    |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
  842:   56:-       |  56:-       |  52:addi    |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
  843:   56:-       |  56:-       |  56:-       |  52:addi    |  52:-       BUS_LOAD  MEM[48] accepted 1
  844:   56:-       |  56:-       |  56:-       |  56:-       |  52:addi    r4=4200  BUS_LOAD  MEM[48] accepted 1
  845:   56:addi    |  56:-       |  56:-       |  56:-       |  56:-       BUS_LOAD  MEM[48] accepted 1
  846:   60:-       |  56:addi    |  56:-       |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
  847:   60:-       |  60:-       |  56:addi    |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
  848:   60:-       |  60:-       |  60:-       |  56:addi    |  56:-       BUS_LOAD  MEM[56] accepted 1
  849:   60:-       |  60:-       |  60:-       |  60:-       |  56:addi    r17=13  BUS_LOAD  MEM[56] accepted 1
  850:   60:addi    |  60:-       |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
  851:   64:-       |  60:addi    |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
  852:   64:-       |  64:-       |  60:addi    |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
  853:   64:-       |  64:-       |  64:-       |  60:addi    |  60:-       BUS_LOAD  MEM[56] accepted 1
  854:   64:-       |  64:-       |  64:-       |  64:-       |  60:addi    r3=113000  BUS_LOAD  MEM[56] accepted 1
  855:   64:slti    |  64:-       |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[56] accepted 1
  856:   68:-       |  64:slti    |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
  857:   68:-       |  68:-       |  64:slti    |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
  858:   68:-       |  68:-       |  68:-       |  64:slti    |  64:-       BUS_LOAD  MEM[64] accepted 1
  859:   68:-       |  68:-       |  68:-       |  68:-       |  64:slti    r2=1  BUS_LOAD  MEM[64] accepted 1
  860:   68:bne     |  68:-       |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
  861:   72:-       |  68:bne     |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
  862:   72:-       |  72:-       |  68:bne     |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
  863:   72:-       |  72:-       |  72:-       |  68:bne     |  68:-       BUS_LOAD  MEM[64] accepted 1
  864:   20:-       |  72:-       |  72:-       |  72:-       |  68:bne     BUS_LOAD  MEM[16] accepted 1
  865:   20:add     |  20:-       |  72:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
  866:   24:-       |  20:add     |  20:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
  867:   24:-       |  24:-       |  20:add     |  20:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
  868:   24:-       |  24:-       |  24:-       |  20:add     |  20:-       BUS_LOAD  MEM[16] accepted 1
  869:   24:-       |  24:-       |  24:-       |  24:-       |  20:add     r6=226000  BUS_LOAD  MEM[16] accepted 1
  870:   24:add     |  24:-       |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[16] accepted 1
  871:   28:-       |  24:add     |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
  872:   28:-       |  28:-       |  24:add     |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
  873:   28:-       |  28:-       |  28:-       |  24:add     |  24:-       BUS_LOAD  MEM[24] accepted 1
  874:   28:-       |  28:-       |  28:-       |  28:-       |  24:add     r9=226000  BUS_LOAD  MEM[24] accepted 1
  875:   28:add     |  28:-       |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
  876:   32:-       |  28:add     |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
  877:   32:-       |  32:-       |  28:add     |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
  878:   32:-       |  32:-       |  32:-       |  28:add     |  28:-       BUS_LOAD  MEM[24] accepted 1
  879:   32:-       |  32:-       |  32:-       |  32:-       |  28:add     r8=226000  BUS_LOAD  MEM[24] accepted 1
  880:   32:mulhsu  |  32:-       |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[24] accepted 1
  881:   36:-       |  32:mulhsu  |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
  882:   36:-       |  36:-       |  32:mulhsu  |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
  883:   36:-       |  36:-       |  36:-       |  32:mulhsu  |  32:-       BUS_LOAD  MEM[32] accepted 1
  884:   36:-       |  36:-       |  36:-       |  36:-       |  32:mulhsu  r5=2  BUS_LOAD  MEM[32] accepted 1
  885:   36:mul     |  36:-       |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
  886:   40:-       |  36:mul     |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
  887:   40:-       |  40:-       |  36:mul     |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
  888:   40:-       |  40:-       |  40:-       |  36:mul     |  36:-       BUS_LOAD  MEM[32] accepted 1
  889:   40:-       |  40:-       |  40:-       |  40:-       |  36:mul     r7=452000  BUS_LOAD  MEM[32] accepted 1
  890:   40:mulh    |  40:-       |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[32] accepted 1
  891:   44:-       |  40:mulh    |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
  892:   44:-       |  44:-       |  40:mulh    |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
  893:   44:-       |  44:-       |  44:-       |  40:mulh    |  40:-       BUS_LOAD  MEM[40] accepted 1
  894:   44:-       |  44:-       |  44:-       |  44:-       |  40:mulh    r10=11  BUS_LOAD  MEM[40] accepted 1
  895:   44:mulhu   |  44:-       |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
  896:   48:-       |  44:mulhu   |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
  897:   48:-       |  48:-       |  44:mulhu   |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
  898:   48:-       |  48:-       |  48:-       |  44:mulhu   |  44:-       BUS_LOAD  MEM[40] accepted 1
  899:   48:-       |  48:-       |  48:-       |  48:-       |  44:mulhu   r11=0  BUS_LOAD  MEM[40] accepted 1
  900:   48:sw      |  48:-       |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[40] accepted 1
  901:   52:-       |  48:sw      |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
  902:   52:-       |  52:-       |  48:sw      |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
  903:   52:-       |  52:-       |  52:-       |  48:sw      |  48:-       BUS_STORE MEM[4200] = 0 accepted 1
  904:   52:-       |  52:-       |  52:-       |  52:-       |  48:sw      BUS_LOAD  MEM[48] accepted 1
  905:   52:addi    |  52:-       |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
  906:   56:-       |  52:addi    |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
  907:   56:-       |  56:-       |  52:addi    |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
  908:   56:-       |  56:-       |  56:-       |  52:addi    |  52:-       BUS_LOAD  MEM[48] accepted 1
  909:   56:-       |  56:-       |  56:-       |  56:-       |  52:addi    r4=4208  BUS_LOAD  MEM[48] accepted 1
  910:   56:addi    |  56:-       |  56:-       |  56:-       |  56:-       BUS_LOAD  MEM[48] accepted 1
  911:   60:-       |  56:addi    |  56:-       |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
  912:   60:-       |  60:-       |  56:addi    |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
  913:   60:-       |  60:-       |  60:-       |  56:addi    |  56:-       BUS_LOAD  MEM[56] accepted 1
  914:   60:-       |  60:-       |  60:-       |  60:-       |  56:addi    r17=14  BUS_LOAD  MEM[56] accepted 1
  915:   60:addi    |  60:-       |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
  916:   64:-       |  60:addi    |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
  917:   64:-       |  64:-       |  60:addi    |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
  918:   64:-       |  64:-       |  64:-       |  60:addi    |  60:-       BUS_LOAD  MEM[56] accepted 1
  919:   64:-       |  64:-       |  64:-       |  64:-       |  60:addi    r3=114000  BUS_LOAD  MEM[56] accepted 1
  920:   64:slti    |  64:-       |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[56] accepted 1
  921:   68:-       |  64:slti    |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
  922:   68:-       |  68:-       |  64:slti    |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
  923:   68:-       |  68:-       |  68:-       |  64:slti    |  64:-       BUS_LOAD  MEM[64] accepted 1
  924:   68:-       |  68:-       |  68:-       |  68:-       |  64:slti    r2=1  BUS_LOAD  MEM[64] accepted 1
  925:   68:bne     |  68:-       |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
  926:   72:-       |  68:bne     |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
  927:   72:-       |  72:-       |  68:bne     |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
  928:   72:-       |  72:-       |  72:-       |  68:bne     |  68:-       BUS_LOAD  MEM[64] accepted 1
  929:   20:-       |  72:-       |  72:-       |  72:-       |  68:bne     BUS_LOAD  MEM[16] accepted 1
  930:   20:add     |  20:-       |  72:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
  931:   24:-       |  20:add     |  20:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
  932:   24:-       |  24:-       |  20:add     |  20:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
  933:   24:-       |  24:-       |  24:-       |  20:add     |  20:-       BUS_LOAD  MEM[16] accepted 1
  934:   24:-       |  24:-       |  24:-       |  24:-       |  20:add     r6=228000  BUS_LOAD  MEM[16] accepted 1
  935:   24:add     |  24:-       |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[16] accepted 1
  936:   28:-       |  24:add     |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
  937:   28:-       |  28:-       |  24:add     |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
  938:   28:-       |  28:-       |  28:-       |  24:add     |  24:-       BUS_LOAD  MEM[24] accepted 1
  939:   28:-       |  28:-       |  28:-       |  28:-       |  24:add     r9=228000  BUS_LOAD  MEM[24] accepted 1
  940:   28:add     |  28:-       |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
  941:   32:-       |  28:add     |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
  942:   32:-       |  32:-       |  28:add     |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
  943:   32:-       |  32:-       |  32:-       |  28:add     |  28:-       BUS_LOAD  MEM[24] accepted 1
  944:   32:-       |  32:-       |  32:-       |  32:-       |  28:add     r8=228000  BUS_LOAD  MEM[24] accepted 1
  945:   32:mulhsu  |  32:-       |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[24] accepted 1
  946:   36:-       |  32:mulhsu  |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
  947:   36:-       |  36:-       |  32:mulhsu  |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
  948:   36:-       |  36:-       |  36:-       |  32:mulhsu  |  32:-       BUS_LOAD  MEM[32] accepted 1
  949:   36:-       |  36:-       |  36:-       |  36:-       |  32:mulhsu  r5=3  BUS_LOAD  MEM[32] accepted 1
  950:   36:mul     |  36:-       |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
  951:   40:-       |  36:mul     |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
  952:   40:-       |  40:-       |  36:mul     |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
  953:   40:-       |  40:-       |  40:-       |  36:mul     |  36:-       BUS_LOAD  MEM[32] accepted 1
  954:   40:-       |  40:-       |  40:-       |  40:-       |  36:mul     r7=684000  BUS_LOAD  MEM[32] accepted 1
  955:   40:mulh    |  40:-       |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[32] accepted 1
