N, ROB size, RS size, Cache Size, Memory Latency, Branch Type, Unrolls, Optimization Lvl, Cycles, Instructions, Branch hit, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 12, 6, 16, 1000, 3, 4, 8, 1287, 72, 0.500000, 0.717579, -1.700000, 438, 203, 0
1, 12, 6, 64, 100, 1, 1, 8, 367, 107, 0.242424, 0.817073, -0.400000, 98, 0, 0
1, 12, 6, 64, 100, 1, 2, 8, 326, 79, 0.346154, 0.774086, -0.500000, 88, 7, 0
1, 12, 6, 64, 100, 1, 3, 8, 326, 79, 0.346154, 0.774086, -0.500000, 88, 7, 0
1, 12, 6, 64, 100, 1, 4, 8, 339, 72, 0.500000, 0.758730, -0.533333, 56, 30, 0
1, 12, 6, 64, 100, 2, 1, 8, 367, 107, 0.242424, 0.817073, -0.375000, 98, 0, 0
1, 12, 6, 64, 100, 2, 2, 8, 336, 79, 0.384615, 0.779935, -0.533333, 91, 7, 0
1, 12, 6, 64, 100, 2, 3, 8, 336, 79, 0.384615, 0.779935, -0.533333, 91, 7, 0
1, 12, 6, 64, 100, 2, 4, 8, 348, 72, 0.541667, 0.767584, -0.222222, 36, 44, 0
1, 12, 6, 64, 100, 3, 1, 8, 371, 107, 0.272727, 0.796562, -0.250000, 87, 0, 0
1, 12, 6, 64, 100, 3, 2, 8, 329, 79, 0.346154, 0.774834, -0.533333, 91, 7, 0
1, 12, 6, 64, 100, 3, 3, 8, 329, 79, 0.346154, 0.774834, -0.533333, 91, 7, 0
1, 12, 6, 64, 100, 3, 4, 8, 339, 72, 0.500000, 0.758730, -0.600000, 56, 30, 0
1, 12, 6, 64, 1000, 1, 1, 8, 1498, 107, 0.272727, 0.788835, -1.400000, 848, 0, 0
1, 12, 6, 64, 1000, 1, 2, 8, 1185, 79, 0.346154, 0.757746, -0.923077, 640, 80, 0
1, 12, 6, 64, 1000, 1, 3, 8, 1185, 79, 0.346154, 0.757746, -0.923077, 640, 80, 0
1, 12, 6, 64, 1000, 1, 4, 8, 1199, 72, 0.500000, 0.729107, -1.600000, 438, 203, 0
1, 12, 6, 64, 1000, 2, 1, 8, 1483, 107, 0.242424, 0.772251, -1.875000, 846, 0, 0
1, 12, 6, 64, 1000, 2, 2, 8, 1261, 79, 0.384615, 0.750693, -1.600000, 709, 163, 0
1, 12, 6, 64, 1000, 2, 3, 8, 1261, 79, 0.384615, 0.750693, -1.600000, 709, 163, 0
1, 12, 6, 64, 1000, 2, 4, 8, 1462, 72, 0.541667, 0.702439, -1.900000, 425, 460, 0
