N, ROB size, RS size, Cache Size, Memory Latency, Branch Type, Unrolls, Optimization Lvl, Cycles, Instructions, Branch hit, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 12, 6, 16, 1000, 3, 3, 8, 5406, 490, 0.125000, 0.786087, 0.000000, 4428, 11, 0
1, 12, 6, 16, 1000, 3, 4, 8, 5429, 480, 0.166667, 0.510638, 0.000000, 4454, 22, 0
1, 12, 6, 64, 100, 1, 1, 8, 1480, 580, 0.041667, 0.890045, 0.000000, 822, 0, 0
1, 12, 6, 64, 100, 1, 2, 8, 1524, 510, 0.083333, 0.880952, 0.000000, 914, 66, 0
1, 12, 6, 64, 100, 1, 3, 8, 1681, 490, 0.125000, 0.849387, 0.000000, 1035, 132, 0
1, 12, 6, 64, 100, 1, 4, 8, 1520, 480, 0.166667, 0.822695, 0.000000, 904, 99, 0
1, 12, 6, 64, 100, 2, 1, 8, 1480, 580, 0.041667, 0.890045, 0.000000, 822, 0, 0
1, 12, 6, 64, 100, 2, 2, 8, 1524, 510, 0.083333, 0.880952, 0.000000, 914, 66, 0
1, 12, 6, 64, 100, 2, 3, 8, 1681, 490, 0.125000, 0.849387, 0.000000, 1035, 132, 0
1, 12, 6, 64, 100, 2, 4, 8, 1520, 480, 0.166667, 0.822695, 0.000000, 904, 99, 0
1, 12, 6, 64, 100, 3, 1, 8, 1480, 580, 0.041667, 0.890045, 0.000000, 822, 0, 0
1, 12, 6, 64, 100, 3, 2, 8, 1524, 510, 0.083333, 0.880952, 0.000000, 914, 66, 0
1, 12, 6, 64, 100, 3, 3, 8, 1681, 490, 0.125000, 0.849387, 0.000000, 1035, 132, 0
1, 12, 6, 64, 100, 3, 4, 8, 1520, 480, 0.166667, 0.822695, 0.000000, 904, 99, 0
1, 12, 6, 64, 1000, 1, 1, 8, 5254, 580, 0.041667, 0.915902, 0.000000, 4397, 0, 0
1, 12, 6, 64, 1000, 1, 2, 8, 5199, 510, 0.083333, 0.875000, 0.000000, 4394, 19, 0
1, 12, 6, 64, 1000, 1, 3, 8, 5263, 490, 0.125000, 0.843478, 0.000000, 4478, 19, 0
1, 12, 6, 64, 1000, 1, 4, 8, 5251, 480, 0.166667, 0.822695, 0.000000, 4470, 30, 0
1, 12, 6, 64, 1000, 2, 1, 8, 5254, 580, 0.041667, 0.915902, 0.000000, 4397, 0, 0
1, 12, 6, 64, 1000, 2, 2, 8, 5199, 510, 0.083333, 0.875000, 0.000000, 4394, 19, 0
1, 12, 6, 64, 1000, 2, 3, 8, 5263, 490, 0.125000, 0.843478, 0.000000, 4478, 19, 0
1, 12, 6, 64, 1000, 2, 4, 8, 5251, 480, 0.166667, 0.822695, 0.000000, 4470, 30, 0
1, 12, 6, 64, 1000, 3, 1, 8, 5254, 580, 0.041667, 0.915902, 0.000000, 4397, 0, 0
1, 12, 6, 64, 1000, 3, 2, 8, 5199, 510, 0.083333, 0.875000, 0.000000, 4394, 19, 0
1, 12, 6, 64, 1000, 3, 3, 8, 5263, 490, 0.125000, 0.843478, 0.000000, 4478, 19, 0
1, 12, 6, 64, 1000, 3, 4, 8, 5251, 480, 0.166667, 0.822695, 0.000000, 4470, 30, 0
1, 24, 12, 8, 100, 1, 1, 8, 1538, 580, 0.041667, 0.854676, 0.000000, 848, 0, 0
1, 24, 12, 8, 100, 1, 2, 8, 1553, 510, 0.083333, 0.549254, 0.000000, 888, 0, 0
1, 24, 12, 8, 100, 1, 3, 8, 1631, 490, 0.125000, 0.048780, 0.000000, 1015, 10, 0
1, 24, 12, 8, 100, 1, 4, 8, 1644, 480, 0.166667, 0.000000, 0.000000, 1040, 8, 0
1, 24, 12, 8, 100, 2, 1, 8, 1538, 580, 0.041667, 0.854676, 0.000000, 848, 0, 0
1, 24, 12, 8, 100, 2, 2, 8, 1553, 510, 0.083333, 0.549254, 0.000000, 888, 0, 0
1, 24, 12, 8, 100, 2, 3, 8, 1631, 490, 0.125000, 0.048780, 0.000000, 1015, 10, 0
1, 24, 12, 8, 100, 2, 4, 8, 1644, 480, 0.166667, 0.000000, 0.000000, 1040, 8, 0
1, 24, 12, 8, 100, 3, 1, 8, 1538, 580, 0.041667, 0.854676, 0.000000, 848, 0, 0
1, 24, 12, 8, 100, 3, 2, 8, 1553, 510, 0.083333, 0.549254, 0.000000, 888, 0, 0
1, 24, 12, 8, 100, 3, 3, 8, 1631, 490, 0.125000, 0.048780, 0.000000, 1015, 10, 0
1, 24, 12, 8, 100, 3, 4, 8, 1644, 480, 0.166667, 0.000000, 0.000000, 1040, 8, 0
1, 24, 12, 8, 1000, 1, 1, 8, 5422, 580, 0.041667, 0.857771, 0.000000, 4306, 0, 0
1, 24, 12, 8, 1000, 1, 2, 8, 5431, 510, 0.083333, 0.600639, 0.000000, 4227, 0, 0
1, 24, 12, 8, 1000, 1, 3, 8, 5513, 490, 0.125000, 0.093098, 0.000000, 4237, 0, 0
1, 24, 12, 8, 1000, 1, 4, 8, 5501, 480, 0.166667, 0.000000, 0.000000, 4162, 0, 0
1, 24, 12, 8, 1000, 2, 1, 8, 5422, 580, 0.041667, 0.857771, 0.000000, 4306, 0, 0
1, 24, 12, 8, 1000, 2, 2, 8, 5431, 510, 0.083333, 0.600639, 0.000000, 4227, 0, 0
1, 24, 12, 8, 1000, 2, 3, 8, 5513, 490, 0.125000, 0.093098, 0.000000, 4237, 0, 0
1, 24, 12, 8, 1000, 2, 4, 8, 5501, 480, 0.166667, 0.000000, 0.000000, 4162, 0, 0
1, 24, 12, 8, 1000, 3, 1, 8, 5422, 580, 0.041667, 0.857771, 0.000000, 4306, 0, 0
1, 24, 12, 8, 1000, 3, 2, 8, 5431, 510, 0.083333, 0.600639, 0.000000, 4227, 0, 0
1, 24, 12, 8, 1000, 3, 3, 8, 5513, 490, 0.125000, 0.093098, 0.000000, 4237, 0, 0
1, 24, 12, 8, 1000, 3, 4, 8, 5501, 480, 0.166667, 0.000000, 0.000000, 4162, 0, 0
1, 24, 12, 16, 100, 1, 1, 8, 1538, 580, 0.041667, 0.854676, 0.000000, 848, 0, 0
1, 24, 12, 16, 100, 1, 2, 8, 1543, 510, 0.083333, 0.765152, 0.000000, 888, 0, 0
1, 24, 12, 16, 100, 1, 3, 8, 1631, 490, 0.125000, 0.751220, 0.000000, 1015, 10, 0
1, 24, 12, 16, 100, 1, 4, 8, 1634, 480, 0.166667, 0.495798, 0.000000, 1040, 8, 0
