N, ROB size, RS size, Cache Size, Memory Latency, Branch Type, Unrolls, Optimization Lvl, Cycles, Instructions, Branch hit, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 12, 6, 16, 1000, 3, 3, 8, 6093, 597, 0.500000, 0.745860, 0.713376, 3258, 30, 125
1, 12, 6, 16, 1000, 3, 4, 8, 5946, 592, 0.507042, 0.729955, 0.734177, 2965, 204, 124
1, 12, 6, 64, 100, 1, 1, 8, 1884, 643, 0.562500, 0.868651, 0.854749, 433, 24, 39
1, 12, 6, 64, 100, 1, 2, 8, 1781, 608, 0.486486, 0.844770, 0.836478, 496, 30, 39
1, 12, 6, 64, 100, 1, 3, 8, 1789, 597, 0.513889, 0.832667, 0.836478, 487, 48, 39
1, 12, 6, 64, 100, 1, 4, 8, 1773, 592, 0.507042, 0.826936, 0.835443, 468, 75, 39
1, 12, 6, 64, 100, 2, 1, 8, 1783, 643, 0.450000, 0.852362, 0.836478, 479, 2, 39
1, 12, 6, 64, 100, 2, 2, 8, 1781, 608, 0.486486, 0.844770, 0.836478, 496, 30, 39
1, 12, 6, 64, 100, 2, 3, 8, 1777, 597, 0.500000, 0.835349, 0.836478, 488, 48, 39
1, 12, 6, 64, 100, 2, 4, 8, 1773, 592, 0.507042, 0.826936, 0.835443, 468, 75, 39
1, 12, 6, 64, 100, 3, 1, 8, 1783, 643, 0.450000, 0.852362, 0.836478, 479, 2, 39
1, 12, 6, 64, 100, 3, 2, 8, 1781, 608, 0.486486, 0.844770, 0.836478, 496, 30, 39
1, 12, 6, 64, 100, 3, 3, 8, 1777, 597, 0.500000, 0.835349, 0.836478, 488, 48, 39
1, 12, 6, 64, 100, 3, 4, 8, 1773, 592, 0.507042, 0.826936, 0.835443, 468, 75, 39
1, 12, 6, 64, 1000, 1, 1, 8, 4484, 643, 0.550000, 0.855107, 0.838323, 1997, 0, 127
1, 12, 6, 64, 1000, 1, 2, 8, 4348, 608, 0.486486, 0.847884, 0.829114, 2107, 22, 127
1, 12, 6, 64, 1000, 1, 3, 8, 4441, 597, 0.513889, 0.844951, 0.830189, 2087, 38, 127
1, 12, 6, 64, 1000, 1, 4, 8, 4570, 592, 0.507042, 0.830779, 0.828025, 2061, 53, 127
1, 12, 6, 64, 1000, 2, 1, 8, 4406, 643, 0.450000, 0.853532, 0.829114, 2097, 0, 127
1, 12, 6, 64, 1000, 2, 2, 8, 4348, 608, 0.486486, 0.847884, 0.829114, 2107, 22, 127
1, 12, 6, 64, 1000, 2, 3, 8, 4429, 597, 0.500000, 0.843729, 0.830189, 2088, 38, 127
1, 12, 6, 64, 1000, 2, 4, 8, 4570, 592, 0.507042, 0.830779, 0.828025, 2061, 53, 127
1, 12, 6, 64, 1000, 3, 1, 8, 4406, 643, 0.450000, 0.853532, 0.829114, 2097, 0, 127
1, 12, 6, 64, 1000, 3, 2, 8, 4348, 608, 0.486486, 0.847884, 0.829114, 2107, 22, 127
1, 12, 6, 64, 1000, 3, 3, 8, 4429, 597, 0.500000, 0.843729, 0.830189, 2088, 38, 127
1, 12, 6, 64, 1000, 3, 4, 8, 4570, 592, 0.507042, 0.830779, 0.828025, 2061, 53, 127
1, 24, 12, 8, 100, 1, 1, 8, 2457, 643, 0.562500, 0.396429, 0.619565, 225, 4, 39
1, 24, 12, 8, 100, 1, 2, 8, 2177, 608, 0.486486, 0.480603, 0.608187, 282, 5, 48
1, 24, 12, 8, 100, 1, 3, 8, 2240, 597, 0.513889, 0.421488, 0.577381, 272, 29, 39
1, 24, 12, 8, 100, 1, 4, 8, 2175, 592, 0.507042, 0.440282, 0.608187, 292, 37, 48
1, 24, 12, 8, 100, 2, 1, 8, 2185, 643, 0.450000, 0.501310, 0.608187, 261, 4, 39
1, 24, 12, 8, 100, 2, 2, 8, 2177, 608, 0.486486, 0.480603, 0.608187, 282, 5, 48
1, 24, 12, 8, 100, 2, 3, 8, 2171, 597, 0.500000, 0.459517, 0.600000, 273, 29, 39
1, 24, 12, 8, 100, 2, 4, 8, 2175, 592, 0.507042, 0.440282, 0.608187, 292, 37, 48
1, 24, 12, 8, 100, 3, 1, 8, 2185, 643, 0.450000, 0.501310, 0.608187, 261, 4, 39
1, 24, 12, 8, 100, 3, 2, 8, 2177, 608, 0.486486, 0.480603, 0.608187, 282, 5, 48
1, 24, 12, 8, 100, 3, 3, 8, 2171, 597, 0.500000, 0.459517, 0.600000, 273, 29, 39
1, 24, 12, 8, 100, 3, 4, 8, 2175, 592, 0.507042, 0.440282, 0.608187, 292, 37, 48
1, 24, 12, 8, 1000, 1, 1, 8, 9957, 643, 0.537500, 0.445097, 0.587209, 2673, 83, 188
1, 24, 12, 8, 1000, 1, 2, 8, 8364, 608, 0.486486, 0.526175, 0.569620, 2566, 83, 208
1, 24, 12, 8, 1000, 1, 3, 8, 8706, 597, 0.500000, 0.503151, 0.572327, 2843, 110, 188
1, 24, 12, 8, 1000, 1, 4, 8, 8316, 592, 0.507042, 0.498378, 0.575949, 2478, 112, 208
1, 24, 12, 8, 1000, 2, 1, 8, 8651, 643, 0.450000, 0.535992, 0.560510, 2770, 83, 188
1, 24, 12, 8, 1000, 2, 2, 8, 8364, 608, 0.486486, 0.526175, 0.569620, 2566, 83, 208
1, 24, 12, 8, 1000, 2, 3, 8, 8706, 597, 0.500000, 0.503151, 0.572327, 2843, 110, 188
1, 24, 12, 8, 1000, 2, 4, 8, 8316, 592, 0.507042, 0.498378, 0.575949, 2478, 112, 208
1, 24, 12, 8, 1000, 3, 1, 8, 8651, 643, 0.450000, 0.535992, 0.560510, 2770, 83, 188
1, 24, 12, 8, 1000, 3, 2, 8, 8364, 608, 0.486486, 0.526175, 0.569620, 2566, 83, 208
1, 24, 12, 8, 1000, 3, 3, 8, 8706, 597, 0.500000, 0.503151, 0.572327, 2843, 110, 188
1, 24, 12, 8, 1000, 3, 4, 8, 8316, 592, 0.507042, 0.498378, 0.575949, 2478, 112, 208
