N, ROB, RS, CPI
1, 7, 8, 2.706714
1, 7, 9, 2.706714
1, 7, 10, 2.706714
1, 7, 11, 2.706714
1, 7, 12, 2.706714
1, 7, 13, 2.706714
1, 7, 14, 2.706714
1, 7, 15, 2.706714
1, 7, 16, 2.706714
1, 7, 17, 2.706714
1, 7, 18, 2.706714
1, 7, 19, 2.706714
1, 7, 20, 2.706714
1, 7, 21, 2.706714
1, 7, 22, 2.706714
1, 7, 23, 2.706714
1, 7, 24, 2.706714
1, 7, 25, 2.706714
1, 7, 26, 2.706714
1, 7, 27, 2.706714
1, 7, 28, 2.706714
1, 7, 29, 2.706714
1, 7, 30, 2.706714
1, 7, 31, 2.706714
1, 7, 32, 2.706714
1, 8, 1, 3.445230
1, 8, 2, 2.844523
1, 8, 3, 2.844523
1, 8, 4, 2.657244
1, 8, 5, 2.657244
1, 8, 6, 2.653710
1, 8, 7, 2.653710
1, 8, 8, 2.653710
1, 8, 9, 2.653710
1, 8, 10, 2.653710
1, 8, 11, 2.653710
1, 8, 12, 2.653710
1, 8, 13, 2.653710
1, 8, 14, 2.653710
1, 8, 15, 2.653710
1, 8, 16, 2.653710
1, 8, 17, 2.653710
1, 8, 18, 2.653710
1, 8, 19, 2.653710
1, 8, 20, 2.653710
1, 8, 21, 2.653710
1, 8, 22, 2.653710
1, 8, 23, 2.653710
1, 8, 24, 2.653710
1, 8, 25, 2.653710
1, 8, 26, 2.653710
1, 8, 27, 2.653710
1, 8, 28, 2.653710
1, 8, 29, 2.653710
1, 8, 30, 2.653710
1, 8, 31, 2.653710
1, 8, 32, 2.653710
1, 9, 1, 2.653710
1, 9, 2, 2.844523
1, 9, 3, 2.614841
1, 9, 4, 2.607774
1, 9, 5, 2.604240
1, 9, 6, 2.604240
1, 9, 7, 2.604240
1, 9, 8, 2.604240
1, 9, 9, 2.604240
1, 9, 10, 2.604240
1, 9, 11, 2.604240
1, 9, 12, 2.604240
1, 9, 13, 2.604240
1, 9, 14, 2.604240
1, 9, 15, 2.604240
1, 9, 16, 2.604240
1, 9, 17, 2.604240
1, 9, 18, 2.604240
1, 9, 19, 2.604240
1, 9, 20, 2.604240
1, 9, 21, 2.604240
1, 9, 22, 2.604240
1, 9, 23, 2.604240
1, 9, 24, 2.604240
1, 9, 25, 2.604240
1, 9, 26, 2.604240
1, 9, 27, 2.604240
1, 9, 28, 2.604240
1, 9, 29, 2.604240
1, 9, 30, 2.604240
1, 9, 31, 2.604240
1, 9, 32, 2.604240
1, 10, 1, 3.445230
1, 10, 2, 2.844523
1, 10, 3, 2.565371
1, 10, 4, 2.600707
1, 10, 5, 2.544170
1, 10, 6, 2.544170
1, 10, 7, 2.544170
1, 10, 8, 2.544170
1, 10, 9, 2.544170
1, 10, 10, 2.544170
1, 10, 11, 2.544170
1, 10, 12, 2.544170
1, 10, 13, 2.544170
1, 10, 14, 2.544170
1, 10, 15, 2.544170
1, 10, 16, 2.544170
1, 10, 17, 2.544170
1, 10, 18, 2.544170
1, 10, 19, 2.544170
1, 10, 20, 2.544170
1, 10, 21, 2.544170
1, 10, 22, 2.544170
1, 10, 23, 2.544170
1, 10, 24, 2.544170
1, 10, 25, 2.544170
1, 10, 26, 2.544170
1, 10, 27, 2.544170
1, 10, 28, 2.544170
1, 10, 29, 2.544170
1, 10, 30, 2.544170
1, 10, 31, 2.544170
1, 10, 32, 2.544170
1, 11, 1, 3.445230
1, 11, 2, 2.844523
1, 11, 3, 2.565371
1, 11, 4, 2.600707
1, 11, 5, 2.544170
1, 11, 6, 2.544170
1, 11, 7, 2.544170
1, 11, 8, 2.544170
1, 11, 9, 2.544170
1, 11, 10, 2.544170
1, 11, 11, 2.544170
1, 11, 12, 2.544170
1, 11, 13, 2.544170
1, 11, 14, 2.544170
1, 11, 15, 2.544170
1, 11, 16, 2.544170
1, 11, 17, 2.544170
1, 11, 18, 2.544170
1, 11, 19, 2.544170
1, 11, 20, 2.544170
1, 11, 21, 2.544170
1, 11, 22, 2.544170
1, 11, 23, 2.544170
1, 11, 24, 2.544170
1, 11, 25, 2.544170
1, 11, 26, 2.544170
1, 11, 27, 2.544170
1, 11, 28, 2.544170
1, 11, 29, 2.544170
1, 11, 30, 2.544170
1, 11, 31, 2.544170
1, 11, 32, 2.544170
1, 12, 1, 3.445230
1, 12, 2, 2.844523
1, 12, 3, 2.565371
1, 12, 4, 2.600707
1, 12, 5, 2.544170
1, 12, 6, 2.544170
1, 12, 7, 2.597173
1, 12, 8, 2.544170
1, 12, 9, 2.544170
1, 12, 10, 2.544170
1, 12, 11, 2.544170
1, 12, 12, 2.544170
1, 12, 13, 2.544170
1, 12, 14, 2.544170
1, 12, 15, 2.544170
1, 12, 16, 2.544170
1, 12, 17, 2.544170
1, 12, 18, 2.544170
1, 12, 19, 2.544170
1, 12, 20, 2.544170
1, 12, 21, 2.544170
1, 12, 22, 2.544170
1, 12, 23, 2.544170
1, 12, 24, 2.544170
1, 12, 25, 2.544170
1, 12, 26, 2.544170
1, 12, 27, 2.544170
1, 12, 28, 2.544170
1, 12, 29, 2.544170
1, 12, 30, 2.544170
1, 12, 31, 2.544170
1, 12, 32, 2.544170
1, 13, 1, 3.445230
1, 13, 2, 2.844523
1, 13, 3, 2.565371
1, 13, 4, 2.600707
1, 13, 5, 2.544170
1, 13, 6, 2.544170
1, 13, 7, 2.597173
1, 13, 8, 2.544170
1, 13, 9, 2.544170
1, 13, 10, 2.544170
1, 13, 11, 2.544170
1, 13, 12, 2.544170
1, 13, 13, 2.544170
1, 13, 14, 2.544170
1, 13, 15, 2.544170
1, 13, 16, 2.544170
1, 13, 17, 2.544170
1, 13, 18, 2.544170
1, 13, 19, 2.544170
1, 13, 20, 2.544170
1, 13, 21, 2.544170
1, 13, 22, 2.544170
1, 13, 23, 2.544170
1, 13, 24, 2.544170
1, 13, 25, 2.544170
1, 13, 26, 2.544170
1, 13, 27, 2.544170
1, 13, 28, 2.544170
1, 13, 29, 2.544170
1, 13, 30, 2.544170
1, 13, 31, 2.544170
1, 13, 32, 2.544170
1, 14, 1, 3.445230
1, 14, 2, 2.844523
1, 14, 3, 2.565371
1, 14, 4, 2.565371
1, 14, 5, 2.544170
1, 14, 6, 2.544170
1, 14, 7, 2.597173
1, 14, 8, 2.544170
1, 14, 9, 2.583039
1, 14, 10, 2.636042
1, 14, 11, 2.586572
1, 14, 12, 2.586572
1, 14, 13, 2.586572
1, 14, 14, 2.586572
1, 14, 15, 2.586572
1, 14, 16, 2.586572
1, 14, 17, 2.586572
1, 14, 18, 2.586572
1, 14, 19, 2.586572
1, 14, 20, 2.586572
1, 14, 21, 2.586572
1, 14, 22, 2.586572
1, 14, 23, 2.586572
1, 14, 24, 2.586572
1, 14, 25, 2.586572
1, 14, 26, 2.586572
1, 14, 27, 2.586572
1, 14, 28, 2.586572
1, 14, 29, 2.586572
1, 14, 30, 2.586572
1, 14, 31, 2.586572
1, 14, 32, 2.586572
1, 15, 1, 3.445230
1, 15, 2, 2.844523
1, 15, 3, 2.565371
1, 15, 4, 2.600707
1, 15, 5, 2.544170
1, 15, 6, 2.544170
1, 15, 7, 2.597173
1, 15, 8, 2.544170
1, 15, 9, 2.583039
1, 15, 10, 2.636042
1, 15, 11, 2.586572
1, 15, 12, 2.586572
1, 15, 13, 2.586572
1, 15, 14, 2.586572
1, 15, 15, 2.586572
1, 15, 16, 2.586572
1, 15, 17, 2.586572
1, 15, 18, 2.586572
1, 15, 19, 2.586572
1, 15, 20, 2.586572
1, 15, 21, 2.586572
1, 15, 22, 2.586572
1, 15, 23, 2.586572
1, 15, 24, 2.586572
1, 15, 25, 2.586572
1, 15, 26, 2.586572
1, 15, 27, 2.586572
1, 15, 28, 2.586572
1, 15, 29, 2.586572
1, 15, 30, 2.586572
1, 15, 31, 2.586572
1, 15, 32, 2.586572
1, 16, 1, 3.445230
1, 16, 2, 2.844523
1, 16, 3, 2.565371
1, 16, 4, 2.600707
1, 16, 5, 2.544170
1, 16, 6, 2.544170
1, 16, 7, 2.597173
1, 16, 8, 2.544170
1, 16, 9, 2.583039
1, 16, 10, 2.636042
1, 16, 11, 2.586572
1, 16, 12, 2.586572
1, 16, 13, 2.586572
1, 16, 14, 2.586572
1, 16, 15, 2.586572
1, 16, 16, 2.586572
1, 16, 17, 2.586572
1, 16, 18, 2.586572
1, 16, 19, 2.586572
1, 16, 20, 2.586572
1, 16, 21, 2.586572
1, 16, 22, 2.586572
1, 16, 23, 2.586572
1, 16, 24, 2.586572
1, 16, 25, 2.586572
1, 16, 26, 2.586572
1, 16, 27, 2.586572
1, 16, 28, 2.586572
1, 16, 29, 2.586572
1, 16, 30, 2.586572
1, 16, 31, 2.586572
1, 16, 32, 2.586572
1, 17, 1, 3.445230
1, 17, 2, 2.844523
1, 17, 3, 2.565371
1, 17, 4, 2.600707
1, 17, 5, 2.544170
1, 17, 6, 2.544170
1, 17, 7, 2.597173
1, 17, 8, 2.597173
1, 17, 9, 2.583039
1, 17, 10, 2.583039
1, 17, 11, 2.586572
1, 17, 12, 2.636042
1, 17, 13, 2.636042
1, 17, 14, 2.636042
1, 17, 15, 2.636042
1, 17, 16, 2.636042
1, 17, 17, 2.636042
1, 17, 18, 2.636042
1, 17, 19, 2.636042
1, 17, 20, 2.636042
1, 17, 21, 2.636042
1, 17, 22, 2.636042
1, 17, 23, 2.636042
1, 17, 24, 2.636042
1, 17, 25, 2.636042
1, 17, 26, 2.636042
1, 17, 27, 2.636042
1, 17, 28, 2.636042
1, 17, 29, 2.636042
1, 17, 30, 2.636042
1, 17, 31, 2.636042
1, 17, 32, 2.636042
1, 18, 1, 3.445230
1, 18, 2, 2.844523
1, 18, 3, 2.844523
1, 18, 4, 2.600707
1, 18, 5, 2.600707
1, 18, 6, 2.544170
1, 18, 7, 2.544170
1, 18, 8, 2.544170
1, 18, 9, 2.583039
1, 18, 10, 2.636042
1, 18, 11, 2.586572
1, 18, 12, 2.586572
1, 18, 13, 2.586572
1, 18, 14, 2.586572
1, 18, 15, 2.586572
1, 18, 16, 2.586572
1, 18, 17, 2.586572
1, 18, 18, 2.586572
1, 18, 19, 2.586572
1, 18, 20, 2.586572
1, 18, 21, 2.586572
1, 18, 22, 2.586572
1, 18, 23, 2.586572
1, 18, 24, 2.586572
1, 18, 25, 2.586572
1, 18, 26, 2.586572
1, 18, 27, 2.586572
1, 18, 28, 2.586572
1, 18, 29, 2.586572
1, 18, 30, 2.586572
1, 18, 31, 2.586572
1, 18, 32, 2.586572
1, 19, 1, 3.445230
1, 19, 2, 3.445230
1, 19, 3, 2.565371
1, 19, 4, 2.565371
1, 19, 5, 2.544170
1, 19, 6, 2.544170
1, 19, 7, 2.597173
1, 19, 8, 2.544170
1, 19, 9, 2.583039
1, 19, 10, 2.583039
1, 19, 11, 2.586572
1, 19, 12, 2.590106
1, 19, 13, 2.636042
1, 19, 14, 2.636042
1, 19, 15, 2.636042
1, 19, 16, 2.636042
1, 19, 17, 2.636042
1, 19, 18, 2.636042
1, 19, 19, 2.636042
1, 19, 20, 2.636042
1, 19, 21, 2.636042
1, 19, 22, 2.636042
1, 19, 23, 2.636042
1, 19, 24, 2.636042
1, 19, 25, 2.636042
1, 19, 26, 2.636042
1, 19, 27, 2.636042
1, 19, 28, 2.636042
1, 19, 29, 2.636042
1, 19, 30, 2.636042
1, 19, 31, 2.636042
1, 19, 32, 2.636042
1, 20, 1, 3.445230
1, 20, 2, 2.844523
1, 20, 3, 2.844523
1, 20, 4, 2.600707
1, 20, 5, 2.544170
1, 20, 6, 2.544170
1, 20, 7, 2.597173
1, 20, 8, 2.544170
1, 20, 9, 2.583039
1, 20, 10, 2.636042
1, 20, 11, 2.586572
1, 20, 12, 2.586572
1, 20, 13, 2.586572
1, 20, 14, 2.586572
1, 20, 15, 2.586572
1, 20, 16, 2.586572
1, 20, 17, 2.586572
1, 20, 18, 2.586572
1, 20, 19, 2.586572
1, 20, 20, 2.586572
1, 20, 21, 2.586572
1, 20, 22, 2.586572
1, 20, 23, 2.586572
1, 20, 24, 2.586572
1, 20, 25, 2.586572
1, 20, 26, 2.586572
1, 20, 27, 2.586572
1, 20, 28, 2.586572
1, 20, 29, 2.586572
1, 20, 30, 2.586572
1, 20, 31, 2.586572
1, 20, 32, 2.586572
1, 21, 1, 3.445230
1, 21, 2, 2.844523
1, 21, 3, 2.565371
1, 21, 4, 2.600707
1, 21, 5, 2.544170
1, 21, 6, 2.544170
1, 21, 7, 2.597173
1, 21, 8, 2.544170
1, 21, 9, 2.583039
1, 21, 10, 2.636042
1, 21, 11, 2.586572
1, 21, 12, 2.586572
1, 21, 13, 2.636042
1, 21, 14, 2.636042
1, 21, 15, 2.636042
1, 21, 16, 2.636042
1, 21, 17, 2.636042
1, 21, 18, 2.636042
1, 21, 19, 2.636042
1, 21, 20, 2.636042
1, 21, 21, 2.636042
1, 21, 22, 2.636042
1, 21, 23, 2.636042
1, 21, 24, 2.636042
1, 21, 25, 2.636042
1, 21, 26, 2.636042
1, 21, 27, 2.636042
1, 21, 28, 2.636042
1, 21, 29, 2.636042
1, 21, 30, 2.636042
1, 21, 31, 2.636042
1, 21, 32, 2.636042
1, 22, 1, 3.445230
1, 22, 2, 2.844523
1, 22, 3, 2.844523
1, 22, 4, 2.600707
1, 22, 5, 2.544170
1, 22, 6, 2.544170
1, 22, 7, 2.597173
1, 22, 8, 2.544170
1, 22, 9, 2.583039
1, 22, 10, 2.636042
1, 22, 11, 2.586572
1, 22, 12, 2.586572
1, 22, 13, 2.636042
1, 22, 14, 2.586572
1, 22, 15, 2.586572
1, 22, 16, 2.586572
1, 22, 17, 2.586572
1, 22, 18, 2.586572
1, 22, 19, 2.586572
1, 22, 20, 2.586572
1, 22, 21, 2.586572
1, 22, 22, 2.586572
1, 22, 23, 2.586572
1, 22, 24, 2.586572
1, 22, 25, 2.586572
1, 22, 26, 2.586572
1, 22, 27, 2.586572
1, 22, 28, 2.586572
1, 22, 29, 2.586572
1, 22, 30, 2.586572
1, 22, 31, 2.586572
1, 22, 32, 2.586572
1, 23, 1, 3.445230
1, 23, 2, 2.844523
1, 23, 3, 2.565371
1, 23, 4, 2.565371
1, 23, 5, 2.544170
1, 23, 6, 2.544170
1, 23, 7, 2.597173
1, 23, 8, 2.544170
1, 23, 9, 2.583039
1, 23, 10, 2.636042
1, 23, 11, 2.586572
1, 23, 12, 2.586572
1, 23, 13, 2.636042
1, 23, 14, 2.586572
1, 23, 15, 2.586572
1, 23, 16, 2.586572
1, 23, 17, 2.586572
1, 23, 18, 2.586572
1, 23, 19, 2.586572
1, 23, 20, 2.586572
1, 23, 21, 2.586572
1, 23, 22, 2.586572
1, 23, 23, 2.586572
1, 23, 24, 2.586572
1, 23, 25, 2.586572
1, 23, 26, 2.586572
1, 23, 27, 2.586572
1, 23, 28, 2.586572
1, 23, 29, 2.586572
1, 23, 30, 2.586572
1, 23, 31, 2.586572
1, 23, 32, 2.586572
1, 24, 1, 3.445230
1, 24, 2, 2.844523
1, 24, 3, 2.565371
1, 24, 4, 2.600707
1, 24, 5, 2.544170
1, 24, 6, 2.544170
1, 24, 7, 2.597173
1, 24, 8, 2.544170
1, 24, 9, 2.583039
1, 24, 10, 2.636042
1, 24, 11, 2.636042
1, 24, 12, 2.586572
1, 24, 13, 2.636042
1, 24, 14, 2.586572
1, 24, 15, 2.586572
1, 24, 16, 2.586572
1, 24, 17, 2.586572
1, 24, 18, 2.586572
1, 24, 19, 2.586572
1, 24, 20, 2.586572
1, 24, 21, 2.586572
1, 24, 22, 2.586572
1, 24, 23, 2.586572
1, 24, 24, 2.586572
1, 24, 25, 2.586572
1, 24, 26, 2.586572
1, 24, 27, 2.586572
1, 24, 28, 2.586572
1, 24, 29, 2.586572
1, 24, 30, 2.586572
1, 24, 31, 2.586572
1, 24, 32, 2.586572
1, 25, 1, 3.445230
1, 25, 2, 2.844523
1, 25, 3, 2.565371
1, 25, 4, 2.600707
1, 25, 5, 2.544170
1, 25, 6, 2.544170
1, 25, 7, 2.597173
1, 25, 8, 2.544170
1, 25, 9, 2.544170
1, 25, 10, 2.636042
1, 25, 11, 2.586572
1, 25, 12, 2.586572
1, 25, 13, 2.636042
1, 25, 14, 2.586572
1, 25, 15, 2.586572
1, 25, 16, 2.586572
1, 25, 17, 2.586572
1, 25, 18, 2.586572
1, 25, 19, 2.586572
1, 25, 20, 2.586572
1, 25, 21, 2.586572
1, 25, 22, 2.586572
1, 25, 23, 2.586572
1, 25, 24, 2.586572
1, 25, 25, 2.586572
1, 25, 26, 2.586572
1, 25, 27, 2.586572
1, 25, 28, 2.586572
1, 25, 29, 2.586572
1, 25, 30, 2.586572
1, 25, 31, 2.586572
1, 25, 32, 2.586572
1, 26, 1, 3.445230
1, 26, 2, 2.844523
1, 26, 3, 2.565371
1, 26, 4, 2.600707
1, 26, 5, 2.544170
1, 26, 6, 2.544170
1, 26, 7, 2.597173
1, 26, 8, 2.544170
1, 26, 9, 2.583039
1, 26, 10, 2.636042
1, 26, 11, 2.586572
1, 26, 12, 2.586572
1, 26, 13, 2.636042
1, 26, 14, 2.636042
1, 26, 15, 2.586572
1, 26, 16, 2.639576
1, 26, 17, 2.586572
1, 26, 18, 2.586572
1, 26, 19, 2.586572
1, 26, 20, 2.586572
1, 26, 21, 2.586572
1, 26, 22, 2.586572
1, 26, 23, 2.586572
1, 26, 24, 2.586572
1, 26, 25, 2.586572
1, 26, 26, 2.586572
1, 26, 27, 2.586572
1, 26, 28, 2.586572
1, 26, 29, 2.586572
1, 26, 30, 2.586572
1, 26, 31, 2.586572
1, 26, 32, 2.586572
1, 27, 1, 3.445230
1, 27, 2, 2.844523
1, 27, 3, 2.565371
1, 27, 4, 2.600707
1, 27, 5, 2.544170
1, 27, 6, 2.544170
1, 27, 7, 2.597173
1, 27, 8, 2.597173
1, 27, 9, 2.583039
1, 27, 10, 2.636042
1, 27, 11, 2.586572
1, 27, 12, 2.586572
1, 27, 13, 2.636042
1, 27, 14, 2.586572
1, 27, 15, 2.586572
1, 27, 16, 2.639576
1, 27, 17, 2.586572
1, 27, 18, 2.586572
1, 27, 19, 2.586572
1, 27, 20, 2.586572
1, 27, 21, 2.586572
1, 27, 22, 2.586572
1, 27, 23, 2.586572
1, 27, 24, 2.586572
1, 27, 25, 2.586572
1, 27, 26, 2.586572
1, 27, 27, 2.586572
1, 27, 28, 2.586572
1, 27, 29, 2.586572
1, 27, 30, 2.586572
1, 27, 31, 2.586572
1, 27, 32, 2.586572
1, 28, 1, 3.445230
1, 28, 2, 2.844523
1, 28, 3, 2.565371
1, 28, 4, 2.600707
1, 28, 5, 2.544170
1, 28, 6, 2.544170
1, 28, 7, 2.544170
1, 28, 8, 2.544170
1, 28, 9, 2.583039
1, 28, 10, 2.636042
1, 28, 11, 2.636042
1, 28, 12, 2.586572
1, 28, 13, 2.636042
1, 28, 14, 2.586572
1, 28, 15, 2.586572
1, 28, 16, 2.639576
1, 28, 17, 2.586572
1, 28, 18, 2.586572
1, 28, 19, 2.636042
1, 28, 20, 2.586572
1, 28, 21, 2.586572
1, 28, 22, 2.586572
1, 28, 23, 2.586572
1, 28, 24, 2.586572
1, 28, 25, 2.586572
1, 28, 26, 2.586572
1, 28, 27, 2.586572
1, 28, 28, 2.586572
1, 28, 29, 2.586572
1, 28, 30, 2.586572
1, 28, 31, 2.586572
1, 28, 32, 2.586572
1, 29, 1, 3.445230
1, 29, 2, 2.844523
1, 29, 3, 2.565371
1, 29, 4, 2.600707
1, 29, 5, 2.544170
1, 29, 6, 2.544170
1, 29, 7, 2.597173
1, 29, 8, 2.544170
1, 29, 9, 2.583039
1, 29, 10, 2.583039
1, 29, 11, 2.586572
1, 29, 12, 2.586572
