N, ROB size, RS size, Cache Size, Memory Latency, Unrolls, Optimization Step, Cycles, Instructions, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
3, 16, 8, 16, 1000, 4, 1, 1824, 125, 0.293173, 0.200000, 1134, 0, 0
3, 16, 8, 16, 1000, 4, 2, 1824, 125, 0.293173, 0.200000, 1134, 0, 0
3, 16, 8, 16, 1000, 4, 3, 1824, 125, 0.293173, 0.200000, 1134, 0, 0
3, 16, 8, 16, 1000, 4, 4, 1824, 125, 0.293173, 0.200000, 1134, 0, 0
3, 16, 8, 16, 1000, 4, 5, 1824, 125, 0.293173, 0.200000, 1134, 0, 0
3, 16, 8, 16, 1000, 4, 6, 1824, 125, 0.293173, 0.200000, 1134, 0, 0
3, 16, 8, 16, 1000, 4, 7, 1725, 89, 0.382353, 0.238095, 1206, 14, 0
3, 16, 8, 16, 1000, 4, 8, 1725, 89, 0.382353, 0.238095, 1206, 14, 0
3, 16, 8, 64, 50, 1, 1, 250, 149, 0.666667, 0.157895, 143, 7, 0
3, 16, 8, 64, 50, 1, 2, 250, 149, 0.666667, 0.157895, 143, 7, 0
3, 16, 8, 64, 50, 1, 3, 250, 149, 0.666667, 0.157895, 144, 4, 0
3, 16, 8, 64, 50, 1, 4, 250, 149, 0.666667, 0.157895, 144, 4, 0
3, 16, 8, 64, 50, 1, 5, 250, 149, 0.666667, 0.157895, 144, 4, 0
3, 16, 8, 64, 50, 1, 6, 250, 149, 0.666667, 0.157895, 144, 4, 0
3, 16, 8, 64, 50, 1, 7, 250, 149, 0.666667, 0.157895, 144, 4, 0
3, 16, 8, 64, 50, 1, 8, 250, 149, 0.666667, 0.157895, 144, 4, 0
3, 16, 8, 64, 50, 2, 1, 250, 135, 0.646341, 0.157895, 153, 2, 0
3, 16, 8, 64, 50, 2, 2, 250, 135, 0.646341, 0.157895, 153, 2, 0
3, 16, 8, 64, 50, 2, 3, 250, 135, 0.646341, 0.157895, 153, 2, 0
3, 16, 8, 64, 50, 2, 4, 250, 135, 0.646341, 0.157895, 153, 2, 0
3, 16, 8, 64, 50, 2, 5, 250, 135, 0.646341, 0.157895, 153, 2, 0
3, 16, 8, 64, 50, 2, 6, 250, 135, 0.646341, 0.157895, 153, 2, 0
3, 16, 8, 64, 50, 2, 7, 239, 107, 0.608108, 0.157895, 149, 4, 0
3, 16, 8, 64, 50, 2, 8, 239, 107, 0.608108, 0.157895, 149, 4, 0
3, 16, 8, 64, 50, 3, 1, 251, 124, 0.523256, 0.272727, 146, 4, 0
3, 16, 8, 64, 50, 3, 2, 251, 124, 0.523256, 0.272727, 146, 4, 0
3, 16, 8, 64, 50, 3, 3, 251, 124, 0.523256, 0.272727, 146, 4, 0
3, 16, 8, 64, 50, 3, 4, 251, 124, 0.523256, 0.272727, 146, 4, 0
3, 16, 8, 64, 50, 3, 5, 251, 124, 0.523256, 0.272727, 146, 4, 0
3, 16, 8, 64, 50, 3, 6, 251, 124, 0.523256, 0.272727, 146, 4, 0
3, 16, 8, 64, 50, 3, 7, 242, 89, 0.480519, 0.272727, 144, 8, 0
3, 16, 8, 64, 50, 3, 8, 242, 89, 0.480519, 0.272727, 144, 8, 0
3, 16, 8, 64, 50, 4, 1, 250, 125, 0.492063, 0.272727, 146, 4, 0
3, 16, 8, 64, 50, 4, 2, 250, 125, 0.492063, 0.272727, 146, 4, 0
3, 16, 8, 64, 50, 4, 3, 250, 125, 0.492063, 0.272727, 146, 4, 0
3, 16, 8, 64, 50, 4, 4, 250, 125, 0.492063, 0.272727, 146, 4, 0
3, 16, 8, 64, 50, 4, 5, 250, 125, 0.492063, 0.272727, 146, 4, 0
3, 16, 8, 64, 50, 4, 6, 250, 125, 0.492063, 0.272727, 146, 4, 0
3, 16, 8, 64, 50, 4, 7, 241, 89, 0.442922, 0.272727, 147, 15, 0
3, 16, 8, 64, 50, 4, 8, 241, 89, 0.442922, 0.272727, 147, 15, 0
3, 16, 8, 64, 1000, 1, 1, 1644, 149, 0.666667, 0.157895, 1209, 7, 0
3, 16, 8, 64, 1000, 1, 2, 1644, 149, 0.666667, 0.157895, 1209, 7, 0
3, 16, 8, 64, 1000, 1, 3, 1644, 149, 0.666667, 0.157895, 1210, 4, 0
3, 16, 8, 64, 1000, 1, 4, 1644, 149, 0.666667, 0.157895, 1210, 4, 0
3, 16, 8, 64, 1000, 1, 5, 1644, 149, 0.666667, 0.157895, 1210, 4, 0
3, 16, 8, 64, 1000, 1, 6, 1644, 149, 0.666667, 0.157895, 1210, 4, 0
3, 16, 8, 64, 1000, 1, 7, 1644, 149, 0.666667, 0.157895, 1210, 4, 0
3, 16, 8, 64, 1000, 1, 8, 1644, 149, 0.666667, 0.157895, 1210, 4, 0
3, 16, 8, 64, 1000, 2, 1, 1644, 135, 0.638554, 0.157895, 1219, 2, 0
3, 16, 8, 64, 1000, 2, 2, 1644, 135, 0.638554, 0.157895, 1219, 2, 0
3, 16, 8, 64, 1000, 2, 3, 1644, 135, 0.638554, 0.157895, 1219, 2, 0
3, 16, 8, 64, 1000, 2, 4, 1644, 135, 0.638554, 0.157895, 1219, 2, 0
3, 16, 8, 64, 1000, 2, 5, 1644, 135, 0.638554, 0.157895, 1219, 2, 0
3, 16, 8, 64, 1000, 2, 6, 1644, 135, 0.638554, 0.157895, 1219, 2, 0
3, 16, 8, 64, 1000, 2, 7, 1633, 107, 0.600000, 0.157895, 1216, 3, 0
3, 16, 8, 64, 1000, 2, 8, 1633, 107, 0.600000, 0.157895, 1216, 3, 0
3, 16, 8, 64, 1000, 3, 1, 1645, 124, 0.529412, 0.272727, 1215, 4, 0
3, 16, 8, 64, 1000, 3, 2, 1645, 124, 0.529412, 0.272727, 1215, 4, 0
3, 16, 8, 64, 1000, 3, 3, 1645, 124, 0.529412, 0.272727, 1215, 4, 0
