PC=000001f0, REG[16]=000002c0
PC=000001f4, REG[11]=4c958000
PC=000001f8, REG[11]=4c957f2d
PC=000001fc, REG[13]=d2bd141d
PC=00000200, REG[14]=c7033129
PC=00000204, REG[15]=2917ec19
PC=00000208, REG[12]=2917ec1a
PC=0000020c, REG[15]=00000000
PC=00000210, ---
PC=00000214, REG[12]=5851f000
PC=00000218, REG[12]=5851f42d
PC=0000021c, REG[12]=97952d19
PC=00000220, REG[14]=59cffb35
PC=00000224, REG[13]=3f0b32b6
PC=00000228, REG[14]=f165284e
PC=0000022c, REG[14]=30705b04
PC=00000230, REG[15]=30705b04
PC=00000234, REG[10]=60e0b608
PC=00000238, ---
PC=0000023c, REG[10]=30705b04
PC=00000240, ---
PC=0000016c, REG[10]=00005b04
PC=00000170, ---
PC=00000174, REG[ 1]=00000174
PC=00000178, REG[ 1]=0000017c
PC=000001ec, REG[15]=00000000
PC=000001f0, REG[16]=000002c0
PC=000001f4, REG[11]=4c958000
PC=000001f8, REG[11]=4c957f2d
PC=000001fc, REG[13]=2917ec1a
PC=00000200, REG[14]=30705b04
PC=00000204, REG[15]=3a776692
PC=00000208, REG[12]=3a776693
PC=0000020c, REG[15]=00000000
PC=00000210, ---
PC=00000214, REG[12]=5851f000
PC=00000218, REG[12]=5851f42d
PC=0000021c, REG[12]=aa774892
PC=00000220, REG[14]=6a3afbb4
PC=00000224, REG[13]=0c4b196e
PC=00000228, REG[14]=14b24446
PC=0000022c, REG[14]=20fd5db4
PC=00000230, REG[15]=20fd5db4
PC=00000234, REG[10]=41fabb68
PC=00000238, ---
PC=0000023c, REG[10]=20fd5db4
PC=00000240, ---
PC=0000017c, REG[15]=00000004
PC=00000180, REG[10]=00005db4
PC=00000184, ---
PC=00000188, ---
PC=0000018c, REG[20]=00000003
PC=00000190, REG[19]=0000ffdc
PC=00000194, REG[18]=0000ffcc
PC=00000198, REG[ 9]=0000ffbc
PC=0000019c, ---
PC=00000164, REG[ 1]=00000164
PC=00000168, REG[ 1]=0000016c
PC=000001ec, REG[15]=00000000
PC=000001f0, REG[16]=000002c0
PC=000001f4, REG[11]=4c958000
PC=000001f8, REG[11]=4c957f2d
PC=000001fc, REG[13]=3a776693
PC=00000200, REG[14]=20fd5db4
PC=00000204, REG[15]=da6ef4d7
PC=00000208, REG[12]=da6ef4d8
PC=0000020c, REG[15]=00000000
PC=00000210, ---
PC=00000214, REG[12]=5851f000
PC=00000218, REG[12]=5851f42d
PC=0000021c, REG[12]=114423d7
PC=00000220, REG[14]=77c9c4a4
PC=00000224, REG[13]=117d96fd
PC=00000228, REG[14]=890de87b
PC=0000022c, REG[14]=9a8b7f78
PC=00000230, REG[15]=9a8b7f78
PC=00000234, REG[10]=3516fef0
PC=00000238, ---
PC=0000023c, REG[10]=1a8b7f78
PC=00000240, ---
PC=0000016c, REG[10]=00007f78
PC=00000170, ---
PC=00000174, REG[ 1]=00000174
PC=00000178, REG[ 1]=0000017c
PC=000001ec, REG[15]=00000000
PC=000001f0, REG[16]=000002c0
PC=000001f4, REG[11]=4c958000
PC=000001f8, REG[11]=4c957f2d
PC=000001fc, REG[13]=da6ef4d8
PC=00000200, REG[14]=9a8b7f78
PC=00000204, REG[15]=12b031f8
PC=00000208, REG[12]=12b031f9
PC=0000020c, REG[15]=00000000
PC=00000210, ---
PC=00000214, REG[12]=5851f000
PC=00000218, REG[12]=5851f42d
PC=0000021c, REG[12]=df36e9f8
PC=00000220, REG[14]=2f99f018
PC=00000224, REG[13]=41587fc8
PC=00000228, REG[14]=0ed0da10
PC=0000022c, REG[14]=502959d8
PC=00000230, REG[15]=502959d8
PC=00000234, REG[10]=a052b3b0
PC=00000238, ---
PC=0000023c, REG[10]=502959d8
PC=00000240, ---
PC=0000017c, REG[15]=00000004
PC=00000180, REG[10]=000059d8
PC=00000184, ---
PC=00000188, ---
PC=0000018c, REG[20]=00000004
PC=00000190, REG[19]=0000ffe0
PC=00000194, REG[18]=0000ffd0
PC=00000198, REG[ 9]=0000ffc0
PC=0000019c, ---
PC=000001a0, REG[ 1]=000001a0
PC=000001a4, REG[ 1]=000001a8
PC=000001ec, REG[15]=00000000
PC=000001f0, REG[16]=000002c0
PC=000001f4, REG[11]=4c958000
PC=000001f8, REG[11]=4c957f2d
PC=000001fc, REG[13]=12b031f9
PC=00000200, REG[14]=502959d8
PC=00000204, REG[15]=b3b04fc5
PC=00000208, REG[12]=b3b04fc6
PC=0000020c, REG[15]=00000000
PC=00000210, ---
PC=00000214, REG[12]=5851f000
PC=00000218, REG[12]=5851f42d
PC=0000021c, REG[12]=a0631cc5
PC=00000220, REG[14]=058ef2f8
PC=00000224, REG[13]=059738ab
PC=00000228, REG[14]=a5f20fbd
PC=0000022c, REG[14]=ab894868
PC=00000230, REG[15]=ab894868
PC=00000234, REG[10]=571290d0
PC=00000238, ---
PC=0000023c, REG[10]=2b894868
PC=00000240, ---
PC=000001a8, REG[ 2]=0000ffe0
PC=000001ac, REG[ 1]=000000a0
PC=000001b0, REG[ 8]=00010000
PC=000001b4, REG[ 9]=00000000
PC=000001b8, REG[18]=00000000
PC=000001bc, REG[19]=00000000
PC=000001c0, REG[20]=00000000
PC=000001c4, REG[21]=00000000
PC=000001c8, REG[22]=00000000
PC=000001cc, REG[10]=00000000
PC=000001d0, REG[ 2]=00010000
PC=000001d4, ---
PC=000000a0, REG[ 2]=000100a0
PC=000000a4, REG[ 2]=00010000
PC=000000a8, ---
PC=000000ac, ---
PC=000000b0, ---
