PC=00000000, REG[17]=00000030
PC=00000004, REG[ 3]=00018000
PC=00000008, REG[ 3]=000186a0
PC=0000000c, REG[12]=00019000
PC=00000010, REG[12]=00018a88
PC=00000014, REG[13]=00019000
PC=00000018, REG[13]=00018e70
PC=0000001c, REG[14]=00019000
PC=00000020, REG[14]=00019258
PC=00000024, REG[15]=00001000
PC=00000028, REG[15]=00000fa0
PC=0000002c, REG[ 4]=00001000
PC=00000030, REG[ 6]=00030d40
PC=00000034, REG[ 9]=00030d40
PC=00000038, REG[ 8]=00030d40
PC=0000003c, REG[ 5]=00000002
PC=00000040, REG[ 7]=00061a80
PC=00000044, REG[10]=00000009
PC=00000048, REG[11]=00000000
PC=0000004c, ---
PC=00000050, REG[ 3]=00018a88
PC=00000054, REG[ 6]=00031510
PC=00000058, REG[ 9]=00031510
PC=0000005c, REG[ 8]=00031510
PC=00000060, REG[ 5]=00000002
PC=00000064, REG[ 7]=00062a20
PC=00000068, REG[10]=00000009
PC=0000006c, REG[11]=00000000
PC=00000070, ---
PC=00000074, REG[12]=00019a28
PC=00000078, REG[ 6]=00031ce0
PC=0000007c, REG[ 9]=00031ce0
PC=00000080, REG[ 8]=00031ce0
PC=00000084, REG[ 5]=00000002
PC=00000088, REG[ 7]=000639c0
PC=0000008c, REG[10]=00000009
PC=00000090, REG[11]=00000000
PC=00000094, ---
PC=00000098, REG[13]=00019e10
PC=0000009c, REG[ 6]=000324b0
PC=000000a0, REG[ 9]=000324b0
PC=000000a4, REG[ 8]=000324b0
PC=000000a8, REG[ 5]=00000002
PC=000000ac, REG[ 7]=00064960
PC=000000b0, REG[10]=00000009
PC=000000b4, REG[11]=00000000
PC=000000b8, ---
PC=000000bc, REG[ 4]=00001020
PC=000000c0, REG[17]=0000002c
PC=000000c4, REG[14]=0001a1f8
PC=000000c8, ---
PC=00000030, REG[ 6]=00031510
PC=00000034, REG[ 9]=00031510
PC=00000038, REG[ 8]=00031510
PC=0000003c, REG[ 5]=00000002
PC=00000040, REG[ 7]=00062a20
PC=00000044, REG[10]=00000009
PC=00000048, REG[11]=00000000
PC=0000004c, ---
PC=00000050, REG[ 3]=00018e70
PC=00000054, REG[ 6]=00033450
PC=00000058, REG[ 9]=00033450
PC=0000005c, REG[ 8]=00033450
PC=00000060, REG[ 5]=00000002
PC=00000064, REG[ 7]=000668a0
PC=00000068, REG[10]=0000000a
PC=0000006c, REG[11]=00000000
PC=00000070, ---
PC=00000074, REG[12]=0001a9c8
PC=00000078, REG[ 6]=00033c20
PC=0000007c, REG[ 9]=00033c20
PC=00000080, REG[ 8]=00033c20
PC=00000084, REG[ 5]=00000002
PC=00000088, REG[ 7]=00067840
PC=0000008c, REG[10]=0000000a
PC=00000090, REG[11]=00000000
PC=00000094, ---
PC=00000098, REG[13]=0001adb0
PC=0000009c, REG[ 6]=000343f0
PC=000000a0, REG[ 9]=000343f0
PC=000000a4, REG[ 8]=000343f0
PC=000000a8, REG[ 5]=00000002
PC=000000ac, REG[ 7]=000687e0
PC=000000b0, REG[10]=0000000a
PC=000000b4, REG[11]=00000000
PC=000000b8, ---
PC=000000bc, REG[ 4]=00001040
PC=000000c0, REG[17]=00000028
PC=000000c4, REG[14]=0001b198
PC=000000c8, ---
PC=00000030, REG[ 6]=00031ce0
PC=00000034, REG[ 9]=00031ce0
PC=00000038, REG[ 8]=00031ce0
PC=0000003c, REG[ 5]=00000002
PC=00000040, REG[ 7]=000639c0
PC=00000044, REG[10]=00000009
PC=00000048, REG[11]=00000000
PC=0000004c, ---
PC=00000050, REG[ 3]=00019258
PC=00000054, REG[ 6]=00035390
PC=00000058, REG[ 9]=00035390
PC=0000005c, REG[ 8]=00035390
PC=00000060, REG[ 5]=00000002
PC=00000064, REG[ 7]=0006a720
PC=00000068, REG[10]=0000000b
PC=0000006c, REG[11]=00000000
PC=00000070, ---
PC=00000074, REG[12]=0001b968
PC=00000078, REG[ 6]=00035b60
PC=0000007c, REG[ 9]=00035b60
PC=00000080, REG[ 8]=00035b60
PC=00000084, REG[ 5]=00000002
PC=00000088, REG[ 7]=0006b6c0
PC=0000008c, REG[10]=0000000b
PC=00000090, REG[11]=00000000
PC=00000094, ---
PC=00000098, REG[13]=0001bd50
PC=0000009c, REG[ 6]=00036330
PC=000000a0, REG[ 9]=00036330
PC=000000a4, REG[ 8]=00036330
PC=000000a8, REG[ 5]=00000002
PC=000000ac, REG[ 7]=0006c660
PC=000000b0, REG[10]=0000000b
PC=000000b4, REG[11]=00000000
PC=000000b8, ---
PC=000000bc, REG[ 4]=00001060
PC=000000c0, REG[17]=00000024
PC=000000c4, REG[14]=0001c138
PC=000000c8, ---
PC=00000030, REG[ 6]=000324b0
PC=00000034, REG[ 9]=000324b0
PC=00000038, REG[ 8]=000324b0
PC=0000003c, REG[ 5]=00000002
PC=00000040, REG[ 7]=00064960
PC=00000044, REG[10]=00000009
PC=00000048, REG[11]=00000000
PC=0000004c, ---
PC=00000050, REG[ 3]=00019640
PC=00000054, REG[ 6]=000372d0
PC=00000058, REG[ 9]=000372d0
PC=0000005c, REG[ 8]=000372d0
PC=00000060, REG[ 5]=00000002
PC=00000064, REG[ 7]=0006e5a0
PC=00000068, REG[10]=0000000b
PC=0000006c, REG[11]=00000000
PC=00000070, ---
PC=00000074, REG[12]=0001c908
PC=00000078, REG[ 6]=00037aa0
PC=0000007c, REG[ 9]=00037aa0
PC=00000080, REG[ 8]=00037aa0
PC=00000084, REG[ 5]=00000003
PC=00000088, REG[ 7]=000a6fe0
PC=0000008c, REG[10]=0000000c
PC=00000090, REG[11]=00000000
PC=00000094, ---
PC=00000098, REG[13]=0001ccf0
PC=0000009c, REG[ 6]=00038270
PC=000000a0, REG[ 9]=00038270
PC=000000a4, REG[ 8]=00038270
PC=000000a8, REG[ 5]=00000003
PC=000000ac, REG[ 7]=000a8750
PC=000000b0, REG[10]=0000000c
PC=000000b4, REG[11]=00000000
PC=000000b8, ---
PC=000000bc, REG[ 4]=00001080
PC=000000c0, REG[17]=00000020
PC=000000c4, REG[14]=0001d0d8
PC=000000c8, ---
PC=00000030, REG[ 6]=00032c80
PC=00000034, REG[ 9]=00032c80
PC=00000038, REG[ 8]=00032c80
PC=0000003c, REG[ 5]=00000002
PC=00000040, REG[ 7]=00065900
PC=00000044, REG[10]=0000000a
PC=00000048, REG[11]=00000000
PC=0000004c, ---
PC=00000050, REG[ 3]=00019a28
PC=00000054, REG[ 6]=00039210
PC=00000058, REG[ 9]=00039210
PC=0000005c, REG[ 8]=00039210
PC=00000060, REG[ 5]=00000003
PC=00000064, REG[ 7]=000ab630
PC=00000068, REG[10]=0000000c
PC=0000006c, REG[11]=00000000
PC=00000070, ---
PC=00000074, REG[12]=0001d8a8
PC=00000078, REG[ 6]=000399e0
PC=0000007c, REG[ 9]=000399e0
PC=00000080, REG[ 8]=000399e0
PC=00000084, REG[ 5]=00000003
PC=00000088, REG[ 7]=000acda0
PC=0000008c, REG[10]=0000000c
PC=00000090, REG[11]=00000000
PC=00000094, ---
PC=00000098, REG[13]=0001dc90
PC=0000009c, REG[ 6]=0003a1b0
PC=000000a0, REG[ 9]=0003a1b0
PC=000000a4, REG[ 8]=0003a1b0
PC=000000a8, REG[ 5]=00000003
PC=000000ac, REG[ 7]=000ae510
PC=000000b0, REG[10]=0000000d
PC=000000b4, REG[11]=00000000
PC=000000b8, ---
PC=000000bc, REG[ 4]=000010a0
PC=000000c0, REG[17]=0000001c
PC=000000c4, REG[14]=0001e078
PC=000000c8, ---
PC=00000030, REG[ 6]=00033450
PC=00000034, REG[ 9]=00033450
PC=00000038, REG[ 8]=00033450
PC=0000003c, REG[ 5]=00000002
PC=00000040, REG[ 7]=000668a0
PC=00000044, REG[10]=0000000a
PC=00000048, REG[11]=00000000
PC=0000004c, ---
PC=00000050, REG[ 3]=00019e10
PC=00000054, REG[ 6]=0003b150
PC=00000058, REG[ 9]=0003b150
PC=0000005c, REG[ 8]=0003b150
PC=00000060, REG[ 5]=00000003
PC=00000064, REG[ 7]=000b13f0
PC=00000068, REG[10]=0000000d
PC=0000006c, REG[11]=00000000
PC=00000070, ---
PC=00000074, REG[12]=0001e848
PC=00000078, REG[ 6]=0003b920
PC=0000007c, REG[ 9]=0003b920
PC=00000080, REG[ 8]=0003b920
PC=00000084, REG[ 5]=00000003
PC=00000088, REG[ 7]=000b2b60
PC=0000008c, REG[10]=0000000d
PC=00000090, REG[11]=00000000
PC=00000094, ---
PC=00000098, REG[13]=0001ec30
PC=0000009c, REG[ 6]=0003c0f0
PC=000000a0, REG[ 9]=0003c0f0
PC=000000a4, REG[ 8]=0003c0f0
PC=000000a8, REG[ 5]=00000003
PC=000000ac, REG[ 7]=000b42d0
PC=000000b0, REG[10]=0000000e
PC=000000b4, REG[11]=00000000
PC=000000b8, ---
PC=000000bc, REG[ 4]=000010c0
PC=000000c0, REG[17]=00000018
PC=000000c4, REG[14]=0001f018
PC=000000c8, ---
PC=00000030, REG[ 6]=00033c20
PC=00000034, REG[ 9]=00033c20
PC=00000038, REG[ 8]=00033c20
PC=0000003c, REG[ 5]=00000002
PC=00000040, REG[ 7]=00067840
PC=00000044, REG[10]=0000000a
PC=00000048, REG[11]=00000000
PC=0000004c, ---
PC=00000050, REG[ 3]=0001a1f8
PC=00000054, REG[ 6]=0003d090
PC=00000058, REG[ 9]=0003d090
PC=0000005c, REG[ 8]=0003d090
PC=00000060, REG[ 5]=00000003
PC=00000064, REG[ 7]=000b71b0
PC=00000068, REG[10]=0000000e
PC=0000006c, REG[11]=00000000
PC=00000070, ---
PC=00000074, REG[12]=0001f7e8
PC=00000078, REG[ 6]=0003d860
PC=0000007c, REG[ 9]=0003d860
PC=00000080, REG[ 8]=0003d860
PC=00000084, REG[ 5]=00000003
PC=00000088, REG[ 7]=000b8920
PC=0000008c, REG[10]=0000000e
PC=00000090, REG[11]=00000000
PC=00000094, ---
PC=00000098, REG[13]=0001fbd0
PC=0000009c, REG[ 6]=0003e030
PC=000000a0, REG[ 9]=0003e030
PC=000000a4, REG[ 8]=0003e030
PC=000000a8, REG[ 5]=00000003
PC=000000ac, REG[ 7]=000ba090
PC=000000b0, REG[10]=0000000f
PC=000000b4, REG[11]=00000000
PC=000000b8, ---
PC=000000bc, REG[ 4]=000010e0
PC=000000c0, REG[17]=00000014
PC=000000c4, REG[14]=0001ffb8
PC=000000c8, ---
PC=00000030, REG[ 6]=000343f0
PC=00000034, REG[ 9]=000343f0
PC=00000038, REG[ 8]=000343f0
PC=0000003c, REG[ 5]=00000002
PC=00000040, REG[ 7]=000687e0
PC=00000044, REG[10]=0000000a
PC=00000048, REG[11]=00000000
PC=0000004c, ---
PC=00000050, REG[ 3]=0001a5e0
PC=00000054, REG[ 6]=0003efd0
PC=00000058, REG[ 9]=0003efd0
PC=0000005c, REG[ 8]=0003efd0
PC=00000060, REG[ 5]=00000003
PC=00000064, REG[ 7]=000bcf70
PC=00000068, REG[10]=0000000f
PC=0000006c, REG[11]=00000000
PC=00000070, ---
PC=00000074, REG[12]=00020788
PC=00000078, REG[ 6]=0003f7a0
PC=0000007c, REG[ 9]=0003f7a0
PC=00000080, REG[ 8]=0003f7a0
PC=00000084, REG[ 5]=00000003
PC=00000088, REG[ 7]=000be6e0
PC=0000008c, REG[10]=0000000f
PC=00000090, REG[11]=00000000
PC=00000094, ---
PC=00000098, REG[13]=00020b70
PC=0000009c, REG[ 6]=0003ff70
PC=000000a0, REG[ 9]=0003ff70
PC=000000a4, REG[ 8]=0003ff70
PC=000000a8, REG[ 5]=00000003
PC=000000ac, REG[ 7]=000bfe50
PC=000000b0, REG[10]=0000000f
PC=000000b4, REG[11]=00000000
PC=000000b8, ---
PC=000000bc, REG[ 4]=00001100
PC=000000c0, REG[17]=00000010
PC=000000c4, REG[14]=00020f58
PC=000000c8, ---
PC=00000030, REG[ 6]=00034bc0
