PC=00000014, REG[ 9]=0003f7a0
PC=00000018, REG[ 8]=0003f7a0
PC=0000001c, REG[ 5]=00000003
PC=00000020, REG[ 7]=000be6e0
PC=00000024, REG[10]=0000000f
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=000010f8
PC=00000034, REG[ 3]=0001ffb8
PC=00000038, REG[ 6]=0003ff70
PC=0000003c, REG[ 9]=0003ff70
PC=00000040, REG[ 8]=0003ff70
PC=00000044, REG[ 5]=00000003
PC=00000048, REG[ 7]=000bfe50
PC=0000004c, REG[10]=0000000f
PC=00000050, REG[11]=00000000
PC=00000054, ---
PC=00000058, REG[ 4]=00001100
PC=0000005c, REG[ 3]=000203a0
PC=00000060, REG[ 6]=00040740
PC=00000064, REG[ 9]=00040740
PC=00000068, REG[ 8]=00040740
PC=0000006c, REG[ 5]=00000004
PC=00000070, REG[ 7]=00101d00
PC=00000074, REG[10]=00000010
PC=00000078, REG[11]=00000000
PC=0000007c, ---
PC=00000080, REG[ 4]=00001108
PC=00000084, REG[17]=0000000f
PC=00000088, REG[ 3]=00020788
PC=0000008c, ---
PC=00000010, REG[ 6]=00040f10
PC=00000014, REG[ 9]=00040f10
PC=00000018, REG[ 8]=00040f10
PC=0000001c, REG[ 5]=00000004
PC=00000020, REG[ 7]=00103c40
PC=00000024, REG[10]=00000010
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001110
PC=00000034, REG[ 3]=00020b70
PC=00000038, REG[ 6]=000416e0
PC=0000003c, REG[ 9]=000416e0
PC=00000040, REG[ 8]=000416e0
PC=00000044, REG[ 5]=00000004
PC=00000048, REG[ 7]=00105b80
PC=0000004c, REG[10]=00000010
PC=00000050, REG[11]=00000000
PC=00000054, ---
PC=00000058, REG[ 4]=00001118
PC=0000005c, REG[ 3]=00020f58
PC=00000060, REG[ 6]=00041eb0
PC=00000064, REG[ 9]=00041eb0
PC=00000068, REG[ 8]=00041eb0
PC=0000006c, REG[ 5]=00000004
PC=00000070, REG[ 7]=00107ac0
PC=00000074, REG[10]=00000010
PC=00000078, REG[11]=00000000
PC=0000007c, ---
PC=00000080, REG[ 4]=00001120
PC=00000084, REG[17]=0000000c
PC=00000088, REG[ 3]=00021340
PC=0000008c, ---
PC=00000010, REG[ 6]=00042680
PC=00000014, REG[ 9]=00042680
PC=00000018, REG[ 8]=00042680
PC=0000001c, REG[ 5]=00000004
PC=00000020, REG[ 7]=00109a00
PC=00000024, REG[10]=00000011
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001128
PC=00000034, REG[ 3]=00021728
PC=00000038, REG[ 6]=00042e50
PC=0000003c, REG[ 9]=00042e50
PC=00000040, REG[ 8]=00042e50
PC=00000044, REG[ 5]=00000004
PC=00000048, REG[ 7]=0010b940
PC=0000004c, REG[10]=00000011
PC=00000050, REG[11]=00000000
PC=00000054, ---
PC=00000058, REG[ 4]=00001130
PC=0000005c, REG[ 3]=00021b10
PC=00000060, REG[ 6]=00043620
PC=00000064, REG[ 9]=00043620
PC=00000068, REG[ 8]=00043620
PC=0000006c, REG[ 5]=00000004
PC=00000070, REG[ 7]=0010d880
PC=00000074, REG[10]=00000011
PC=00000078, REG[11]=00000000
PC=0000007c, ---
PC=00000080, REG[ 4]=00001138
PC=00000084, REG[17]=00000009
PC=00000088, REG[ 3]=00021ef8
PC=0000008c, ---
PC=00000010, REG[ 6]=00043df0
PC=00000014, REG[ 9]=00043df0
PC=00000018, REG[ 8]=00043df0
PC=0000001c, REG[ 5]=00000004
PC=00000020, REG[ 7]=0010f7c0
PC=00000024, REG[10]=00000011
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001140
PC=00000034, REG[ 3]=000222e0
PC=00000038, REG[ 6]=000445c0
PC=0000003c, REG[ 9]=000445c0
PC=00000040, REG[ 8]=000445c0
PC=00000044, REG[ 5]=00000004
PC=00000048, REG[ 7]=00111700
PC=0000004c, REG[10]=00000012
PC=00000050, REG[11]=00000000
PC=00000054, ---
PC=00000058, REG[ 4]=00001148
PC=0000005c, REG[ 3]=000226c8
PC=00000060, REG[ 6]=00044d90
PC=00000064, REG[ 9]=00044d90
PC=00000068, REG[ 8]=00044d90
PC=0000006c, REG[ 5]=00000004
PC=00000070, REG[ 7]=00113640
PC=00000074, REG[10]=00000012
PC=00000078, REG[11]=00000000
PC=0000007c, ---
PC=00000080, REG[ 4]=00001150
PC=00000084, REG[17]=00000006
PC=00000088, REG[ 3]=00022ab0
PC=0000008c, ---
PC=00000010, REG[ 6]=00045560
PC=00000014, REG[ 9]=00045560
PC=00000018, REG[ 8]=00045560
PC=0000001c, REG[ 5]=00000004
PC=00000020, REG[ 7]=00115580
PC=00000024, REG[10]=00000012
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001158
PC=00000034, REG[ 3]=00022e98
PC=00000038, REG[ 6]=00045d30
PC=0000003c, REG[ 9]=00045d30
PC=00000040, REG[ 8]=00045d30
PC=00000044, REG[ 5]=00000004
PC=00000048, REG[ 7]=001174c0
PC=0000004c, REG[10]=00000013
PC=00000050, REG[11]=00000000
PC=00000054, ---
PC=00000058, REG[ 4]=00001160
PC=0000005c, REG[ 3]=00023280
PC=00000060, REG[ 6]=00046500
PC=00000064, REG[ 9]=00046500
PC=00000068, REG[ 8]=00046500
PC=0000006c, REG[ 5]=00000004
PC=00000070, REG[ 7]=00119400
PC=00000074, REG[10]=00000013
PC=00000078, REG[11]=00000000
PC=0000007c, ---
PC=00000080, REG[ 4]=00001168
PC=00000084, REG[17]=00000003
PC=00000088, REG[ 3]=00023668
PC=0000008c, ---
PC=00000010, REG[ 6]=00046cd0
PC=00000014, REG[ 9]=00046cd0
PC=00000018, REG[ 8]=00046cd0
PC=0000001c, REG[ 5]=00000004
PC=00000020, REG[ 7]=0011b340
PC=00000024, REG[10]=00000013
PC=00000028, REG[11]=00000000
PC=0000002c, ---
PC=00000030, REG[ 4]=00001170
PC=00000034, REG[ 3]=00023a50
PC=00000038, REG[ 6]=000474a0
PC=0000003c, REG[ 9]=000474a0
PC=00000040, REG[ 8]=000474a0
PC=00000044, REG[ 5]=00000004
PC=00000048, REG[ 7]=0011d280
PC=0000004c, REG[10]=00000013
PC=00000050, REG[11]=00000000
PC=00000054, ---
PC=00000058, REG[ 4]=00001178
PC=0000005c, REG[ 3]=00023e38
PC=00000060, REG[ 6]=00047c70
PC=00000064, REG[ 9]=00047c70
PC=00000068, REG[ 8]=00047c70
PC=0000006c, REG[ 5]=00000005
PC=00000070, REG[ 7]=00166e30
PC=00000074, REG[10]=00000014
PC=00000078, REG[11]=00000000
PC=0000007c, ---
PC=00000080, REG[ 4]=00001180
PC=00000084, REG[17]=00000000
PC=00000088, REG[ 3]=00024220
PC=0000008c, ---
PC=00000090, ---
