PC=000003c0, REG[14]=0000ff20
PC=000003c4, REG[15]=00020000
PC=000003c8, ---
PC=000003cc, ---
PC=000003d0, REG[15]=00000002
PC=000003d4, ---
PC=000003d8, REG[ 9]=00100000
PC=000003dc, REG[ 9]=00000010
PC=000003e0, REG[ 8]=00000100
PC=000003e4, REG[19]=00000001
PC=000003e8, REG[ 8]=01000000
PC=000003ec, REG[ 8]=00000100
PC=000003f0, REG[12]=00000100
PC=000003f4, ---
PC=000005d4, REG[15]=00000010
PC=000005d8, REG[14]=00000010
PC=000005dc, ---
PC=000005e0, REG[12]=000000ef
PC=000005e4, REG[15]=00ef0000
PC=000005e8, REG[15]=000000ef
PC=000005ec, REG[12]=00ef0000
PC=000005f0, REG[12]=000000ef
PC=000005f4, ---
PC=000005e0, REG[12]=000000de
PC=000005e4, REG[15]=00de0000
PC=000005e8, REG[15]=000000de
PC=000005ec, REG[12]=00de0000
PC=000005f0, REG[12]=000000de
PC=000005f4, ---
PC=000005e0, REG[12]=000000cd
PC=000005e4, REG[15]=00cd0000
PC=000005e8, REG[15]=000000cd
PC=000005ec, REG[12]=00cd0000
PC=000005f0, REG[12]=000000cd
PC=000005f4, ---
PC=000005e0, REG[12]=000000bc
PC=000005e4, REG[15]=00bc0000
PC=000005e8, REG[15]=000000bc
PC=000005ec, REG[12]=00bc0000
PC=000005f0, REG[12]=000000bc
PC=000005f4, ---
PC=000005e0, REG[12]=000000ab
PC=000005e4, REG[15]=00ab0000
PC=000005e8, REG[15]=000000ab
PC=000005ec, REG[12]=00ab0000
PC=000005f0, REG[12]=000000ab
PC=000005f4, ---
PC=000005e0, REG[12]=0000009a
PC=000005e4, REG[15]=009a0000
PC=000005e8, REG[15]=0000009a
PC=000005ec, REG[12]=009a0000
PC=000005f0, REG[12]=0000009a
PC=000005f4, ---
PC=000005e0, REG[12]=00000089
PC=000005e4, REG[15]=00890000
PC=000005e8, REG[15]=00000089
PC=000005ec, REG[12]=00890000
PC=000005f0, REG[12]=00000089
PC=000005f4, ---
PC=000005e0, REG[12]=00000078
PC=000005e4, REG[15]=00780000
PC=000005e8, REG[15]=00000078
PC=000005ec, REG[12]=00780000
PC=000005f0, REG[12]=00000078
PC=000005f4, ---
PC=000005e0, REG[12]=00000067
PC=000005e4, REG[15]=00670000
PC=000005e8, REG[15]=00000067
PC=000005ec, REG[12]=00670000
PC=000005f0, REG[12]=00000067
PC=000005f4, ---
PC=000005e0, REG[12]=00000056
PC=000005e4, REG[15]=00560000
PC=000005e8, REG[15]=00000056
PC=000005ec, REG[12]=00560000
PC=000005f0, REG[12]=00000056
PC=000005f4, ---
PC=000005e0, REG[12]=00000045
PC=000005e4, REG[15]=00450000
PC=000005e8, REG[15]=00000045
PC=000005ec, REG[12]=00450000
PC=000005f0, REG[12]=00000045
PC=000005f4, ---
PC=000005e0, REG[12]=00000034
PC=000005e4, REG[15]=00340000
PC=000005e8, REG[15]=00000034
PC=000005ec, REG[12]=00340000
PC=000005f0, REG[12]=00000034
PC=000005f4, ---
PC=000005e0, REG[12]=00000023
PC=000005e4, REG[15]=00230000
PC=000005e8, REG[15]=00000023
PC=000005ec, REG[12]=00230000
PC=000005f0, REG[12]=00000023
PC=000005f4, ---
PC=000005e0, REG[12]=00000012
PC=000005e4, REG[15]=00120000
PC=000005e8, REG[15]=00000012
PC=000005ec, REG[12]=00120000
PC=000005f0, REG[12]=00000012
PC=000005f4, ---
PC=000005e0, REG[12]=00000001
PC=000005e4, REG[15]=00010000
PC=000005e8, REG[15]=00000001
PC=000005ec, REG[12]=00010000
PC=000005f0, REG[12]=00000001
PC=000005f4, ---
PC=000005f8, REG[18]=0000ff00
PC=000005fc, REG[11]=00000001
PC=00000600, REG[10]=0000ff00
PC=00000604, REG[ 1]=00000604
PC=00000608, REG[ 1]=0000060c
PC=00000374, REG[15]=00000001
PC=00000378, ---
PC=000005d0, ---
PC=0000060c, REG[14]=00000010
PC=00000610, REG[ 8]=000000ef
PC=00000614, REG[15]=00ef0000
PC=00000618, REG[15]=000000ef
PC=0000061c, REG[ 8]=00ef0000
PC=00000620, REG[ 8]=000000ef
PC=00000624, ---
PC=00000610, REG[ 8]=000000de
PC=00000614, REG[15]=00de0000
PC=00000618, REG[15]=000000de
PC=0000061c, REG[ 8]=00de0000
PC=00000620, REG[ 8]=000000de
PC=00000624, ---
PC=00000610, REG[ 8]=000000cd
PC=00000614, REG[15]=00cd0000
PC=00000618, REG[15]=000000cd
PC=0000061c, REG[ 8]=00cd0000
PC=00000620, REG[ 8]=000000cd
PC=00000624, ---
PC=00000610, REG[ 8]=000000bc
PC=00000614, REG[15]=00bc0000
PC=00000618, REG[15]=000000bc
PC=0000061c, REG[ 8]=00bc0000
PC=00000620, REG[ 8]=000000bc
PC=00000624, ---
PC=00000610, REG[ 8]=000000ab
PC=00000614, REG[15]=00ab0000
PC=00000618, REG[15]=000000ab
PC=0000061c, REG[ 8]=00ab0000
PC=00000620, REG[ 8]=000000ab
PC=00000624, ---
PC=00000610, REG[ 8]=0000009a
PC=00000614, REG[15]=009a0000
PC=00000618, REG[15]=0000009a
PC=0000061c, REG[ 8]=009a0000
PC=00000620, REG[ 8]=0000009a
PC=00000624, ---
PC=00000610, REG[ 8]=00000089
PC=00000614, REG[15]=00890000
PC=00000618, REG[15]=00000089
PC=0000061c, REG[ 8]=00890000
PC=00000620, REG[ 8]=00000089
PC=00000624, ---
PC=00000610, REG[ 8]=00000078
PC=00000614, REG[15]=00780000
PC=00000618, REG[15]=00000078
PC=0000061c, REG[ 8]=00780000
PC=00000620, REG[ 8]=00000078
PC=00000624, ---
PC=00000610, REG[ 8]=00000067
PC=00000614, REG[15]=00670000
PC=00000618, REG[15]=00000067
PC=0000061c, REG[ 8]=00670000
PC=00000620, REG[ 8]=00000067
PC=00000624, ---
PC=00000610, REG[ 8]=00000056
PC=00000614, REG[15]=00560000
PC=00000618, REG[15]=00000056
PC=0000061c, REG[ 8]=00560000
PC=00000620, REG[ 8]=00000056
PC=00000624, ---
PC=00000610, REG[ 8]=00000045
PC=00000614, REG[15]=00450000
PC=00000618, REG[15]=00000045
PC=0000061c, REG[ 8]=00450000
PC=00000620, REG[ 8]=00000045
PC=00000624, ---
PC=00000610, REG[ 8]=00000034
PC=00000614, REG[15]=00340000
PC=00000618, REG[15]=00000034
PC=0000061c, REG[ 8]=00340000
PC=00000620, REG[ 8]=00000034
PC=00000624, ---
PC=00000610, REG[ 8]=00000023
PC=00000614, REG[15]=00230000
PC=00000618, REG[15]=00000023
PC=0000061c, REG[ 8]=00230000
PC=00000620, REG[ 8]=00000023
PC=00000624, ---
PC=00000610, REG[ 8]=00000012
PC=00000614, REG[15]=00120000
PC=00000618, REG[15]=00000012
PC=0000061c, REG[ 8]=00120000
PC=00000620, REG[ 8]=00000012
PC=00000624, ---
PC=00000610, REG[ 8]=00000001
PC=00000614, REG[15]=00010000
PC=00000618, REG[15]=00000001
PC=0000061c, REG[ 8]=00010000
PC=00000620, REG[ 8]=00000001
PC=00000624, ---
PC=00000628, ---
PC=00000434, REG[12]=00000001
PC=00000438, REG[11]=00000001
PC=0000043c, REG[10]=0000ff10
PC=00000440, REG[ 1]=00000440
PC=00000444, REG[ 1]=00000448
PC=00000374, REG[15]=00000001
PC=00000378, ---
PC=000005d0, ---
PC=00000448, ---
PC=0000044c, REG[29]=00000000
PC=00000450, REG[29]=00000000
PC=00000454, REG[29]=00000000
PC=00000458, REG[15]=0000ff62
PC=0000045c, REG[29]=00000000
PC=00000460, REG[29]=0000ff62
PC=00000464, REG[16]=0000ff60
PC=00000468, REG[10]=0000ff00
PC=0000046c, REG[28]=0000ff10
PC=00000470, REG[ 6]=00000002
PC=00000474, REG[15]=00000001
PC=00000478, REG[13]=00000010
PC=0000047c, REG[11]=00000000
PC=00000480, REG[15]=00010000
PC=00000484, REG[15]=00000001
PC=00000488, REG[11]=00000000
PC=0000048c, REG[17]=00000001
PC=00000490, REG[11]=00000000
PC=00000494, REG[11]=00000000
PC=00000498, REG[12]=00000001
PC=0000049c, REG[14]=00010000
PC=000004a0, REG[30]=00010000
PC=000004a4, REG[14]=00000001
PC=000004a8, ---
PC=0000057c, ---
PC=000004c0, REG[11]=00000001
PC=000004c4, ---
PC=000004c8, REG[12]=00010000
PC=000004cc, REG[14]=00010000
PC=000004d0, REG[14]=00000001
PC=000004d4, ---
PC=000005b0, ---
PC=000004ec, REG[12]=00000010
PC=000004f0, REG[15]=0000ff62
PC=000004f4, ---
PC=000004f8, REG[15]=00100000
PC=000004fc, REG[14]=00100000
PC=00000500, REG[15]=00000010
PC=00000504, ---
PC=0000054c, ---
PC=0000051c, REG[16]=0000ff62
PC=00000520, REG[10]=0000ff02
PC=00000524, REG[28]=0000ff12
PC=00000528, ---
PC=0000052c, REG[ 1]=00000d5c
PC=00000530, REG[ 8]=0000ffc0
PC=00000534, REG[ 9]=00000002
PC=00000538, REG[18]=00000000
PC=0000053c, REG[19]=00000000
PC=00000540, REG[20]=00000000
PC=00000544, REG[ 2]=0000ff40
PC=00000548, ---
PC=00000d5c, ---
PC=0000079c, REG[12]=00000010
PC=000007a0, REG[11]=00000002
PC=000007a4, REG[10]=0000ff70
PC=000007a8, REG[ 1]=000007a8
PC=000007ac, REG[ 1]=000007b0
PC=00000374, REG[15]=00000001
PC=00000378, ---
PC=0000037c, REG[ 2]=0000ff00
PC=00000380, ---
PC=00000384, ---
PC=00000388, ---
PC=0000038c, ---
PC=00000390, ---
PC=00000394, ---
PC=00000398, REG[20]=0000ff70
PC=0000039c, REG[15]=00000000
PC=000003a0, ---
PC=000003a4, REG[14]=00000000
PC=000003a8, REG[14]=0000ff70
PC=000003ac, REG[17]=00000000
PC=000003b0, REG[13]=00000000
PC=000003b4, REG[10]=0000ff20
PC=000003b8, REG[14]=00000000
PC=000003bc, REG[15]=00000002
PC=000003c0, REG[14]=0000ff20
PC=000003c4, REG[15]=00020000
PC=000003c8, ---
PC=000003cc, ---
PC=000003d0, REG[15]=00000002
PC=000003d4, ---
PC=000003d8, REG[ 9]=00100000
PC=000003dc, REG[ 9]=00000010
PC=000003e0, REG[ 8]=00000100
PC=000003e4, REG[19]=00000001
PC=000003e8, REG[ 8]=01000000
PC=000003ec, REG[ 8]=00000100
PC=000003f0, REG[12]=00000100
PC=000003f4, ---
PC=000005d4, REG[15]=00000010
PC=000005d8, REG[14]=00000010
PC=000005dc, ---
PC=000005e0, REG[12]=000000ef
PC=000005e4, REG[15]=00ef0000
PC=000005e8, REG[15]=000000ef
PC=000005ec, REG[12]=00ef0000
PC=000005f0, REG[12]=000000ef
PC=000005f4, ---
PC=000005e0, REG[12]=000000de
PC=000005e4, REG[15]=00de0000
PC=000005e8, REG[15]=000000de
PC=000005ec, REG[12]=00de0000
PC=000005f0, REG[12]=000000de
PC=000005f4, ---
PC=000005e0, REG[12]=000000cd
PC=000005e4, REG[15]=00cd0000
PC=000005e8, REG[15]=000000cd
PC=000005ec, REG[12]=00cd0000
PC=000005f0, REG[12]=000000cd
PC=000005f4, ---
PC=000005e0, REG[12]=000000bc
PC=000005e4, REG[15]=00bc0000
PC=000005e8, REG[15]=000000bc
PC=000005ec, REG[12]=00bc0000
PC=000005f0, REG[12]=000000bc
PC=000005f4, ---
PC=000005e0, REG[12]=000000ab
PC=000005e4, REG[15]=00ab0000
PC=000005e8, REG[15]=000000ab
PC=000005ec, REG[12]=00ab0000
PC=000005f0, REG[12]=000000ab
PC=000005f4, ---
PC=000005e0, REG[12]=0000009a
PC=000005e4, REG[15]=009a0000
PC=000005e8, REG[15]=0000009a
PC=000005ec, REG[12]=009a0000
PC=000005f0, REG[12]=0000009a
PC=000005f4, ---
PC=000005e0, REG[12]=00000089
PC=000005e4, REG[15]=00890000
PC=000005e8, REG[15]=00000089
PC=000005ec, REG[12]=00890000
PC=000005f0, REG[12]=00000089
PC=000005f4, ---
PC=000005e0, REG[12]=00000078
PC=000005e4, REG[15]=00780000
PC=000005e8, REG[15]=00000078
PC=000005ec, REG[12]=00780000
