PC=0000092c, REG[19]=0000ff58
PC=00000930, REG[ 5]=0000ff78
PC=00000934, ---
PC=000008f4, REG[ 8]=fffffffe
PC=000008f8, REG[ 8]=fffffffe
PC=000008fc, ---
PC=0000092c, REG[19]=0000ff5c
PC=00000930, REG[ 5]=0000ff7c
PC=00000934, ---
PC=000008f4, REG[ 8]=fffffffe
PC=000008f8, REG[ 8]=fffffffe
PC=000008fc, ---
PC=0000092c, REG[19]=0000ff60
PC=00000930, REG[ 5]=0000ff80
PC=00000934, ---
PC=000008f4, REG[ 8]=ffffffff
PC=000008f8, REG[ 8]=ffffffff
PC=000008fc, ---
PC=0000092c, REG[19]=0000ff64
PC=00000930, REG[ 5]=0000ff84
PC=00000934, ---
PC=000008f4, REG[ 8]=00000001
PC=000008f8, REG[ 8]=00000001
PC=000008fc, ---
PC=00000900, REG[16]=fffffffe
PC=00000904, REG[16]=00000000
PC=00000908, ---
PC=0000090c, REG[14]=00000002
PC=00000910, REG[14]=00000003
PC=00000914, REG[14]=00000003
PC=00000918, REG[14]=0000000c
PC=0000091c, REG[13]=0000ff8c
PC=00000920, REG[ 9]=0000ff98
PC=00000924, REG[14]=ffffffff
PC=00000928, ---
PC=0000095c, REG[14]=00000003
PC=00000960, REG[ 6]=0000ff4c
PC=00000964, ---
PC=00000968, ---
PC=0000096c, ---
PC=00000970, ---
PC=00000974, ---
PC=00000978, ---
PC=0000097c, ---
PC=00000980, ---
PC=00000984, REG[ 9]=00000001
PC=00000988, ---
PC=0000098c, ---
PC=00000990, REG[19]=0000ff6c
PC=00000994, REG[20]=0000ff4c
PC=00000998, REG[16]=00000002
PC=0000099c, REG[23]=00000003
PC=000009a0, ---
PC=000009d8, REG[20]=0000ff50
PC=000009dc, REG[19]=0000ff70
PC=000009e0, ---
PC=00000998, REG[16]=00000001
PC=0000099c, REG[23]=00000002
PC=000009a0, ---
PC=000009a4, REG[21]=00000002
PC=000009a8, REG[14]=00000000
PC=000009ac, REG[21]=00000002
PC=000009b0, ---
PC=000009b4, REG[14]=00000004
PC=000009b8, REG[14]=00000006
PC=000009bc, REG[14]=00000008
PC=000009c0, REG[14]=00000020
PC=000009c4, REG[13]=0000ff8c
PC=000009c8, REG[14]=0000ffac
PC=000009cc, ---
PC=000009d0, REG[14]=ffffffff
PC=000009d4, ---
PC=00000a0c, REG[13]=0000ffac
PC=00000a10, REG[14]=00000004
PC=00000a14, REG[ 8]=0000ff4c
PC=00000a18, ---
PC=00000a1c, ---
PC=00000a20, REG[24]=0000ff6c
PC=00000a24, REG[ 9]=0000ff4c
PC=00000a28, REG[22]=00000002
PC=00000a2c, REG[22]=00000004
PC=00000a30, ---
PC=00000a60, REG[ 9]=0000ff50
PC=00000a64, REG[24]=0000ff70
PC=00000a68, ---
PC=00000a28, REG[22]=00000001
PC=00000a2c, REG[22]=00000003
PC=00000a30, ---
PC=00000a60, REG[ 9]=0000ff54
PC=00000a64, REG[24]=0000ff74
PC=00000a68, ---
PC=00000a28, REG[22]=ffffffff
PC=00000a2c, REG[22]=00000001
PC=00000a30, ---
PC=00000a34, REG[25]=00000002
PC=00000a38, REG[25]=00000004
PC=00000a3c, ---
PC=00000a60, REG[ 9]=0000ff58
PC=00000a64, REG[24]=0000ff78
PC=00000a68, ---
PC=00000a28, REG[22]=fffffffe
PC=00000a2c, REG[22]=00000000
PC=00000a30, ---
PC=00000a34, REG[25]=00000001
PC=00000a38, REG[25]=00000003
PC=00000a3c, ---
PC=00000a60, REG[ 9]=0000ff5c
PC=00000a64, REG[24]=0000ff7c
PC=00000a68, ---
PC=00000a28, REG[22]=fffffffe
PC=00000a2c, REG[22]=00000000
PC=00000a30, ---
PC=00000a34, REG[25]=ffffffff
PC=00000a38, REG[25]=00000001
PC=00000a3c, ---
PC=00000a40, REG[ 8]=00000000
PC=00000a44, REG[ 8]=00000000
PC=00000a48, REG[ 8]=00000001
PC=00000a4c, REG[14]=0000ff8c
PC=00000a50, REG[ 8]=00000004
PC=00000a54, REG[ 8]=0000ff90
PC=00000a58, REG[14]=ffffffff
PC=00000a5c, ---
PC=00000a7c, REG[10]=00000002
PC=00000a80, ---
